yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county
23/05/1975, 13:04:44.4,51.7,-3.3,NA,3.8, SOUTHWALES,
16/11/1978, 23:22:00.0,51.75,-3.27,NA,1, MERTHYR TYD.,
20/03/1979, 20:14:00.0,51.76,-3.23,NA,2, RHYMNEY AREA,
18/05/1980, 20:11:00.0,51.72,-3.27,NA,1, MERTHYR TYD.,
09/11/1981, 04:20:25.8,51.751,-3.13,"0.1",2.1, CWMBRAN,
04/01/1984, 19:59:40.9,51.698,-3.241,"0",0.7, GELLIGAER,M GLAMORGAN
20/01/1984, 19:40:22.4,51.701,-3.279,"18.5",0.7, GELLIGAER,M GLAMORGAN
13/02/1986, 00:39:12.0,51.641,-3.219,"0",1.5, BARGOED,MID GLAMORGAN
19/06/1986, 08:33:23.4,51.7,-3.33,"5",0.8, NR BARGOED,M GLAMORGAN
19/07/1986, 15:37:18.6,51.701,-3.282,"16.1",1, MERTHYR VALE,MID GLAM
11/08/1986, 04:50:27.6,51.802,-3.319,"2.5",0.4, MERTHYR TYDFIL,M GLAM
02/06/1988, 21:45:28.1,51.71,-3.36,"7.8",0.3, ABERDARE,MID GLAMORGAN
02/06/1988, 21:46:37.0,51.714,-3.368,"6.1",1.2, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,"13.3",1, ABERTILLERY,GWENT
04/08/1988, 10:42:09.9,51.873,-3.174,"2.8",0.7, HAY-ON-WYE,HER & WOR
20/09/1988, 16:16:56.2,51.692,-3.289,"0",1, SE MERTHYR TYD,POWYS
30/09/1988, 07:54:00.3,51.84,-3.271,"0.1",0.7, NW MERTHYR TYD,POWYS
13/10/1988, 12:17:50.6,51.69,-3.191,"23.4",1.1, MERTHYR VALE,MID GLAM
17/10/1988, 12:25:32.7,51.836,-3.31,"17.5",0.7, MERTHYR TYDFIL,POWYS
24/03/1989, 00:49:00.9,51.685,-3.258,"0.4",1.5, BARGOED,MID GLAMORGAN
05/04/1989, 09:54:22.9,51.673,-3.228,"23.5",0.9, BARGOED,MID GLAMORGAN
19/10/1990, 09:46:22.1,51.688,-3.252,"0",1.2, HENGOED,MID GLAMORGAN
22/10/1990, 17:22:34.9,51.694,-3.251,"0.1",0.8, BARGOED,GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,"0.2",1.2, GELLIGAER,SOUTH WALES
08/12/1990, 00:35:03.1,51.709,-3.267,"0",1.6, RHONNDA,MID GLAMORGAN
09/01/1991, 01:28:14.7,51.67,-3.29,"2.6",1.2, GELLIGAER,M GLAMORGAN
12/03/1991, 21:19:58.1,51.714,-3.277,"0",0.7, ABERDARE,MID GLAMORGAN
23/03/1991, 00:17:50.0,51.714,-3.275,"0.8",0.9, BARGOED,MID GLAMORGAN
19/05/1991, 09:20:45.0,51.719,-3.229,"22.4",0.8, BARGOED,MID GLAMORGAN
13/03/1992, 23:26:12.5,51.71,-3.289,"0.1",1.5, BEDLINOG,MID GLAMORGAN
03/07/1992, 22:19:08.3,51.706,-3.307,"0.1",0.7, BEDLINOG,MID GLAMORGAN
05/07/1992, 02:51:20.9,51.785,-3.214,"3.8",0.8, EBBW VALE,GWENT
17/08/1992, 00:53:35.1,51.684,-3.26,"0.1",2.2, BARGOED,MID GLAMORGAN
31/08/1992, 20:49:19.4,51.711,-3.303,"0.1",1.1, BEDLINOG,MID GLAMORGAN
15/12/1993, 15:30:42.8,51.675,-3.26,"0.1",1.2, BARGOED,MID GLAMORGAN
17/08/1994, 23:50:50.7,51.697,-3.249,"0.1",2, BARGOED,MID GLAMORGAN
09/03/1995, 02:49:57.7,51.697,-3.261,"0.1",0.8, BARGOED,MID GLAMORGAN
06/09/1996, 00:20:24.2,51.755,-3.29,"6.7",0.5, MERTHYR TYDFIL,MID GLAM
07/12/1998, 10:50:58.2,51.673,-3.2,"7.7",1.4, BLACKWOOD,GWENT
03/03/1999, 23:02:44.2,51.73,-3.259,"0.3",1, NEW TREDEGAR,MID GLAM
08/03/1999, 01:19:51.2,51.711,-3.304,"2.2",1.1, BEDLINOG,MID GLAMORGAN
18/03/1999, 02:38:22.1,51.714,-3.296,"1.9",1.1, BEDLINOG,MID GLAMORGAN
13/06/1999, 20:22:13.6,51.692,-3.233,"2.6",0.9, BARGOED,MID GLAMORGAN
09/07/1999, 14:31:11.9,51.697,-3.219,"2.1",1.9, BARGOED,MID GLAMORGAN
30/07/1999, 09:31:12.3,51.689,-3.201,"6.4",2.7, BARGOED,MID GLAMORGAN
30/07/1999, 22:43:17.8,51.691,-3.188,"6.5",1.3, BARGOED,MID GLAMORGAN
31/07/1999, 07:33:48.5,51.695,-3.212,"7.3",1.1, BARGOED,MID GLAMORGAN
13/08/1999, 05:28:58.6,51.689,-3.215,"7.4",2.1, BARGOED,MID GLAMORGAN
22/03/2000, 01:35:09.1,51.684,-3.23,"1",1.4, BARGOED,MID GLAMORGAN
10/10/2001, 02:52:25.3,51.698,-3.255,"6.5",3.1, BARGOED,MID GLAMORGAN
10/10/2001, 05:01:48.0,51.7,-3.253,"5.3",1.6, BARGOED,MID GLAMORGAN
18/10/2001, 03:50:13.6,51.703,-3.255,"7.9",2.5, BARGOED,MID GLAMORGAN
22/10/2001, 15:16:48.3,51.702,-3.254,"7.6",1.6, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:09.2,51.702,-3.258,"5.1",1.7, BARGOED,MID GLAMORGAN
28/01/2002, 00:30:14.8,51.7,-3.257,"6.3",2.5, BARGOED,MID GLAMORGAN
12/02/2002, 19:13:16.2,51.701,-3.256,"5.2",3, BARGOED,MID GLAMORGAN
17/02/2002, 15:44:06.7,51.706,-3.261,"2.4",2, BARGOED,MID GLAMORGAN
24/02/2002, 23:18:35.4,51.7,-3.272,"3.2",1.7, BARGOED,MID GLAMORGAN
16/03/2002, 05:07:14.7,51.702,-3.266,"2.2",1.4, BARGOED,MID GLAMORGAN
23/01/2003, 17:34:31.7,51.716,-3.336,"10.3",1.5, MERTHYR TYDFIL,M GLAMO
14/04/2003, 14:35:48.3,51.698,-3.246,"2.1",1.4, BARGOED,MID GLAMORGAN
01/08/2005, 21:11:56.2,51.704,-3.173,"2",1.2, BLACKWOOD,GWENT
07/04/2009, 03:05:15.9,51.9,-3.218,"4.8",0.8, BRECON,POWYS
02/12/2009, 17:52:59.2,51.697,-3.237,"8.5",2.1, BARGOED,CAERPHILLY
11/10/2011, 15:32:17.2,51.798,-3.146,"19.3",1.4, BRYNMAWR,GWENT
16/01/2012, 12:11:50.2,51.668,-3.225,"5.1",1, BARGOED,CAERPHILLY
15/05/2012, 06:41:44.8,51.808,-3.205,"11.5",2.5, RASSAU,BLAENAU GWENT
26/06/2013, 19:59:38.2,51.708,-3.137,"12.5",0.9, BRYNITHEL,BLAENAU GWENT
05/10/2015, 02:53:38.4,51.663,-3.163,"2.2",1, NEWBRIDGE,CAERPHILLY
05/10/2015, 03:44:59.1,51.66,-3.16,"2.8",1.4, NEWBRIDGE,CAERPHILLY
16/10/2015, 00:21:18.0,51.672,-3.168,"2.4",0.9, NEWBRIDGE,CAERPHILLY
13/12/2015, 01:39:23.4,51.655,-3.167,"9",1.3, BLACKWOOD,CAERPHILLY
13/12/2015, 05:28:18.8,51.651,-3.209,"5",2.4, BLACKWOOD,CAERPHILLY
27/12/2015, 11:08:47.3,51.662,-3.202,"9.3",0.8, BLACKWOOD,CAERPHILLY
27/12/2015, 14:33:52.7,51.666,-3.179,"11.2",1.8, BLACKWOOD,CAERPHILLY
27/12/2015, 21:54:49.0,51.661,-3.183,"9",1.8, BLACKWOOD,CAERPHILLY
28/12/2015, 22:11:12.9,51.663,-3.174,"10.6",1.6, BLACKWOOD,CAERPHILLY
30/12/2015, 01:03:52.1,51.662,-3.157,"11.4",1.9, BLACKWOOD,CAERPHILLY
01/01/2016, 22:32:21.3,51.664,-3.162,"7.9",1.2, NEWBRIDGE,CAERPHILLY
21/03/2016, 23:15:21.6,51.662,-3.217,"3.3",0.9, NEWBRIDGE,CAERPHILLY
13/10/2016, 18:09:11.7,51.739,-3.37,"11.6",0.7, MERTHYR TYDFIL,MERTHYR
14/11/2016, 07:20:09.1,51.888,-3.17,"4.9",2.1, CRICKHOWELL,POWYS
21/01/2017, 21:57:56.8,51.701,-3.174,"22.7",1.1, BARGOED,CAERPHILLY
16/07/2017, 10:28:48.7,51.695,-3.23,"7.5",2.1, BARGOED,CAERPHILLY
13/10/2018, 04:37:20.7,51.886,-3.292,"7.3",0.8, TALYBONT-ON-USK,POWYS
27/03/2019, 10:05:13.5,51.782,-3.227,"7.5",0.9, EBBW VALE,BLAENAU GWENT
09/04/2020, 00:57:00.1,51.669,-3.201,"3.3",0.7, BLACKWOOD,CAERPHILLY
05/05/2020, 04:35:26.2,51.666,-3.219,"3.9",1.3, BLACKWOOD,CAERPHILLY
13/05/2020, 09:24:06.4,51.666,-3.224,"3.6",1.1, BLACKWOOD,CAERPHILLY
19/04/2021, 06:27:15.1,51.838,-3.167,"18.3",0.8, LLANGATTOCK,POWYS
21/01/2022, 23:45:47.1,51.722,-3.313,"15.1",1, BEDLINOG,MERTHYR TYDFIL
24/02/2023, 23:59:41.6,51.838,-3.246,"5.2",3.7, BRYNMAWR,GWENT
25/02/2023, 03:14:14.4,51.838,-3.246,"5.2",0.1, BRYNMAWR,GWENT
25/02/2023, 23:01:16.1,51.838,-3.246,"5.2",0.2, BRYNMAWR,GWENT
27/02/2023, 04:39:33.0,51.838,-3.246,"5.2",0.3, BRYNMAWR,GWENT
28/02/2023, 16:49:45.7,51.838,-3.246,"5.2",0.3, BRYNMAWR,GWENT
01/03/2023, 06:10:50.8,51.838,-3.246,"5.2",0.1, BRYNMAWR,GWENT
02/03/2023, 13:26:46.9,51.838,-3.246,"5.2",1.2, BRYNMAWR,GWENT
02/03/2023, 21:44:41.9,51.838,-3.246,"5.2",0.1, BRYNMAWR,GWENT
04/03/2023, 23:07:46.5,51.838,-3.246,"5.2",0.6, BRYNMAWR,GWENT
27/03/2023, 03:38:43.9,51.838,-3.246,"5.2",0.4, BRYNMAWR,GWENT
28/03/2023, 20:31:04.4,51.838,-3.246,"5.2",0.7, BRYNMAWR,GWENT
12/09/2010, 05:14:56.1,51.711,-3.397,"9.8",1.3, ABERDARE,MID GLAMORGAN
09/05/2014, 03:30:26.7,51.835,-3.379,"2.8",0.7, LLANGYNIDR,POWYS
25/08/1930, 21:00:00.0,51.67,-3.74,"5",3.2, NEATH,
11/09/1992, 00:24:31.4,51.677,-3.724,"14.1",0.8, NEATH,WEST GLAMORGAN
31/12/1993, 21:20:58.6,51.604,-3.602,"3.7",1.8, PONTYCYMER,W GLAMORGAN
30/01/1994, 19:00:35.7,51.61,-3.601,"6.1",0.6, PONTYCYMER,M GLAMORGAN
20/01/2000, 14:10:51.0,51.614,-3.625,"11.4",1.8, MAESTEG,MID GLAMORGAN
16/06/2008, 01:10:14.2,51.598,-3.639,"5.2",1.5, MAESTEG,BRIDGEND
05/06/2009, 19:42:07.1,51.623,-3.645,"3.6",2.9, MAESTEG,BRIDGEND
17/01/2011, 14:28:11.2,51.595,-3.589,"10.1",1.8, MAESTEG,BRIDGEND
19/04/2012, 07:41:31.7,51.62,-3.602,"8",1.2, MAESTEG,BRIDGEND
08/02/2013, 18:04:22.7,51.681,-3.664,"3.1",1.1, MAESTEG,BRIDGEND
07/04/2013, 08:08:12.1,51.691,-3.766,"9.2",1.2, NEATH,NEATH PORT TALBOT
29/10/2016, 02:02:35.0,51.674,-3.718,"9",1, NEATH,NEATH PORT TALBOT
12/01/1980, 08:49:56.7,51.829,-3.449,"0",3.3, CWMBRAN,
14/07/1985, 04:10:51.0,51.709,-3.447,"7.5",0.7, ABERDARE,MID GLAMORGAN
25/01/1988, 01:27:21.8,51.642,-3.559,"0.4",0.8, W RHONDDA,MID GLAM
03/12/1990, 01:17:08.5,51.806,-3.47,"14.1",1.6, ABERDARE,MID GLAMORGAN
20/04/1992, 22:20:26.6,51.695,-3.552,"10.6",1.1, TREHERBERT,M GLAMORGAN
07/10/1992, 08:57:20.3,51.831,-3.494,"13.3",1.4, M TYDFIL,MID GLAMORGAN
07/10/1992, 09:25:31.9,51.82,-3.485,"9.3",1.1, M TYDFIL,MID GLAMORGAN
29/03/1995, 18:05:08.0,51.774,-3.456,"14.3",1.1, MERTHYR TYDFIL,M GLAM
04/04/2002, 08:45:46.8,51.662,-3.402,"8",1.5, MOUNTAIN ASH,MID GLAMO
18/09/2002, 05:20:10.3,51.713,-3.588,"1.5",2.1, GLYN-NEATH,W GLAMORGAN
30/06/2007, 01:49:18.6,51.728,-3.419,"7.5",1.3, ABERDARE,MID GLAMORGAN
10/09/2008, 15:05:50.6,51.846,-3.416,"14.1",1.4, BRECON,POWYS
10/06/2009, 04:59:56.4,51.807,-3.423,"12.3",1.9, VAYNOR,MERTHYR TYDFIL
01/01/2020, 17:28:35.5,51.603,-3.515,"5.6",1.5, OGMORE VALE,BRIDGEND
05/01/2020, 16:57:55.7,51.597,-3.513,"5.7",1.5, OGMORE VALE,BRIDGEND
06/01/2020, 02:35:08.7,51.602,-3.523,"4.8",1.8, OGMORE VALE,BRIDGEND
