yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
20/03/1979, 20:14:00.0,51.76,-3.23,NA,2,NA,NA, ,NA, RHYMNEY AREA,
19/06/1986, 05:10:20.8,51.741,-3.065,"34.1",0.9,"3","0.1", ,NA, NR BARGOED,M GLAMORGAN
05/07/1992, 02:51:20.9,51.785,-3.214,"3.8",0.8,"3","0.1", ,NA, EBBW VALE,GWENT
04/10/1995, 20:40:27.2,51.71,-4.144,"10.3",1.7,NA,NA, ,NA, LLANELLI,DYFED
18/09/2002, 05:20:10.3,51.713,-3.588,"1.5",2.1,"11","0.2", ,NA, GLYN-NEATH,W GLAMORGAN
23/03/2006, 18:56:29.2,51.752,-3.076,"14.3",1.8,"12","0.2", ,NA, ABERTILLERY,GWENT
11/10/2011, 15:32:17.2,51.798,-3.146,"19.3",1.4,"9","0.1", ,NA, BRYNMAWR,GWENT
15/05/2012, 06:41:44.8,51.808,-3.205,"11.5",2.5,"13","0.4", ,NA, RASSAU,BLAENAU GWENT
12/06/2015, 09:38:35.7,51.714,-4.159,"6",1.8,"7","0.3", ,NA, LLANELLI,CARMARTHS
27/03/2019, 10:05:13.5,51.782,-3.227,"7.5",0.9,"8","0.2", ,NA, EBBW VALE,BLAENAU GWENT
14/05/2020, 23:55:55.4,51.757,-3.923,"10.1",1,"9","0.3", ,NA, GARNSWLLT,SWANSEA
24/02/2023, 23:59:41.6,51.838,-3.246,"5.2",3.7,"51","0.3","5",NA, BRYNMAWR,GWENT
25/02/2023, 03:14:14.4,51.838,-3.246,"5.2",0.1,"2","0", ,NA, BRYNMAWR,GWENT
25/02/2023, 23:01:16.1,51.838,-3.246,"5.2",0.2,"2","0", ,NA, BRYNMAWR,GWENT
27/02/2023, 04:39:33.0,51.838,-3.246,"5.2",0.3,"2","0.1", ,NA, BRYNMAWR,GWENT
28/02/2023, 16:49:45.7,51.838,-3.246,"5.2",0.3,"2","0.1", ,NA, BRYNMAWR,GWENT
01/03/2023, 06:10:50.8,51.838,-3.246,"5.2",0.1,"2","0.1", ,NA, BRYNMAWR,GWENT
02/03/2023, 13:26:46.9,51.838,-3.246,"5.2",1.2,"7","0.2", ,NA, BRYNMAWR,GWENT
02/03/2023, 21:44:41.9,51.838,-3.246,"5.2",0.1,"3","0.4", ,NA, BRYNMAWR,GWENT
04/03/2023, 23:07:46.5,51.838,-3.246,"5.2",0.6,"8","0.3", ,NA, BRYNMAWR,GWENT
27/03/2023, 03:38:43.9,51.838,-3.246,"5.2",0.4,"6","0.3", ,NA, BRYNMAWR,GWENT
28/03/2023, 20:31:04.4,51.838,-3.246,"5.2",0.7,"8","0.4", ,NA, BRYNMAWR,GWENT
