yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
20/03/1979, 20:14:00.0,51.76,-3.23,,0.10468478451804282,,, ,, RHYMNEY AREA,
04/10/1995, 20:40:27.2,51.71,-4.144,0.18992242383761393,-0.28788315742461745,,, ,, LLANELLI,DYFED
18/09/2002, 05:20:10.3,51.713,-3.588,-1.4274814436827115,0.23554076516559636,11.0,0.2, ,, GLYN-NEATH,W GLAMORGAN
23/03/2006, 18:56:29.2,51.752,-3.076,0.9251059999832164,-0.15702717677706393,12.0,0.2, ,, ABERTILLERY,GWENT
11/10/2011, 15:32:17.2,51.798,-3.146,1.8440854701652194,-0.6804510993672778,9.0,0.1, ,, BRYNMAWR,GWENT
15/05/2012, 06:41:44.8,51.808,-3.205,0.4104774966812945,0.7589646877558098,13.0,0.4, ,, RASSAU,BLAENAU GWENT
12/06/2015, 09:38:35.7,51.714,-4.159,-0.6003999205189088,-0.15702717677706393,7.0,0.3, ,, LLANELLI,CARMARTHS
14/05/2020, 23:55:55.4,51.757,-3.923,0.15316324503033363,-1.2038750219574912,9.0,0.3, ,, GARNSWLLT,SWANSEA
24/02/2023, 23:59:41.6,51.838,-3.246,-0.7474366357480292,2.329236455526451,51.0,0.3,5,, BRYNMAWR,GWENT
02/03/2023, 13:26:46.9,51.838,-3.246,-0.7474366357480292,-0.9421630606623845,7.0,0.2, ,, BRYNMAWR,GWENT
