yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,-0.3986275648085559,2.351829134925121,,, ,, NEATH,
25/02/1974, 18:10:48.4,51.64,-3.05,-1.3017179638214242,3.417113832571332,,, ,, NEWPORT,
25/02/1974, 20:03:43.5,51.64,-3.12,,3.721480889041677,,, ,, NEWPORT,
09/07/1974, 00:25:00.0,51.6,-3.2,,2.0474620784547746,,, ,, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,,3.264930304336158,,,4,, SOUTHWALES,
16/11/1978, 23:22:00.0,51.75,-3.27,,-0.9962084862486856,,, ,, MERTHYR TYD.,
20/03/1979, 20:14:00.0,51.76,-3.23,,0.5256267961030445,,, ,, RHYMNEY AREA,
29/01/1980, 21:43:00.0,51.57,-3.26,,0.06907621139752544,,, ,, TREFORREST,
07/03/1980, 09:37:00.0,51.66,-3.12,,0.8299938525733909,,, ,, EBBW VALE,
18/05/1980, 20:11:00.0,51.72,-3.27,,-0.9962084862486856,,, ,, MERTHYR TYD.,
22/06/1980, 12:04:18.8,51.66,-3.02,,1.1343609090437365,,, ,, NEWPORT AREA,
09/11/1981, 03:10:35.9,51.639,-3.041,-0.9515400540001079,1.2865444372789097,17.0,0.6,3,, CWMBRAN,
09/11/1981, 04:20:25.8,51.751,-3.13,-1.3017179638214242,0.6778103243382176,5.0,0.5,3,, CWMBRAN,
20/08/1983, 00:48:31.8,51.768,-3.852,-0.5645013115660216,-0.9962084862486856,6.0,0.1, ,, GLANAMAN,W.GLAMORGAN
23/08/1983, 10:38:39.4,51.653,-3.068,-0.8593879724681825,-0.9962084862486856,5.0,0.3, ,, CWMBRAN,GWENT
05/12/1983, 00:56:15.9,51.661,-3.091,-0.8593879724681825,-0.8440249580135124,4.0,0.3, ,, CWMBRAN,GWENT
13/02/1986, 00:39:12.0,51.641,-3.219,-1.3201483801278093,-0.23529084507282053,9.0,0.7, ,, BARGOED,MID GLAMORGAN
19/07/1986, 15:37:18.6,51.701,-3.282,1.647148645200187,-0.9962084862486856,4.0,0.2, ,, MERTHYR VALE,MID GLAM
19/09/1986, 20:57:17.5,51.617,-3.344,1.444414065829951,-0.9962084862486856,4.0,0.1, ,, PONTYPRIDD,M GLAMORGAN
22/09/1986, 02:50:18.3,51.581,-3.341,-0.177462569131935,-0.8440249580135124,5.0,0.2, ,, PONTYPRIDD,M GLAMORGAN
02/06/1988, 21:46:37.0,51.714,-3.368,-0.19589298543832018,-0.6918414297783396,7.0,0.3, ,, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,1.1310969886214048,-0.9962084862486856,4.0,0.0, ,, ABERTILLERY,GWENT
20/09/1988, 16:16:56.2,51.692,-3.289,-1.3201483801278093,-0.9962084862486856,6.0,0.2,3,, SE MERTHYR TYD,POWYS
13/10/1988, 12:17:50.6,51.69,-3.191,2.992569035566296,-0.8440249580135124,4.0,0.2, ,, MERTHYR VALE,MID GLAM
24/03/1989, 00:49:00.9,51.685,-3.258,-1.246426714902269,-0.23529084507282053,5.0,0.2,2,, BARGOED,MID GLAMORGAN
21/06/1990, 01:48:43.7,51.661,-3.07,-1.006831302919263,0.06907621139752544,6.0,0.2, ,, CWMBRAN,GWENT
19/10/1990, 09:46:22.1,51.688,-3.252,-1.3201483801278093,-0.6918414297783396,7.0,0.3,2,, HENGOED,MID GLAMORGAN
25/10/1990, 14:28:06.5,51.571,-3.482,1.425983649523566,-0.8440249580135124,4.0,0.2, ,, BRIDGEND,MID GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,-1.2832875475150392,-0.6918414297783396,5.0,0.3,2,, GELLIGAER,SOUTH WALES
08/12/1990, 00:35:03.1,51.709,-3.267,-1.3201483801278093,-0.08310731683764737,6.0,0.5, ,, RHONNDA,MID GLAMORGAN
09/01/1991, 01:28:14.7,51.67,-3.29,-0.8409575561617975,-0.6918414297783396,3.0,,3,, GELLIGAER,M GLAMORGAN
04/04/1991, 04:16:42.5,51.678,-3.066,-1.3201483801278093,0.5256267961030445,15.0,0.3, ,, PONTYWAUN,GWENT
13/03/1992, 23:26:12.5,51.71,-3.289,-1.3017179638214242,-0.23529084507282053,6.0,0.1, ,, BEDLINOG,MID GLAMORGAN
11/04/1992, 06:45:38.2,51.643,-3.103,1.5365661473618761,0.06907621139752544,12.0,0.2, ,, ABERCARN,GWENT
11/04/1992, 06:54:30.3,51.633,-3.098,1.4812748984427209,-0.6918414297783396,4.0,0.0, ,, ABERCARN,GWENT
20/04/1992, 22:20:26.6,51.695,-3.552,0.6334757483490079,-0.8440249580135124,10.0,0.1, ,, TREHERBERT,M GLAMORGAN
13/05/1992, 08:55:52.4,51.663,-3.103,1.610287812587417,-0.23529084507282053,4.0,0.0, ,, NEWBRIDGE,GWENT
17/08/1992, 00:53:35.1,51.684,-3.26,-1.3017179638214242,0.8299938525733909,21.0,0.3,5,, BARGOED,MID GLAMORGAN
31/08/1992, 20:49:19.4,51.711,-3.303,-1.3017179638214242,-0.8440249580135124,4.0,0.1, ,, BEDLINOG,MID GLAMORGAN
18/03/1993, 02:31:43.3,51.615,-3.283,0.5228932505106976,-0.38747437330799367,10.0,0.3, ,, SENGHENYDD,M GLAMORGAN
15/12/1993, 15:30:42.8,51.675,-3.26,-1.3017179638214242,-0.6918414297783396,6.0,0.1, ,, BARGOED,MID GLAMORGAN
31/12/1993, 21:20:58.6,51.604,-3.602,-0.6382229767915617,0.2212597396326986,14.0,0.2, ,, PONTYCYMER,W GLAMORGAN
28/01/1994, 06:05:47.3,51.546,-3.207,0.22800658960853654,-0.8440249580135124,10.0,0.3, ,, CARDIFF,S GLAMORGAN
