yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,-0.4286630705062829,2.4044575895370137,,, ,, NEATH,
25/02/1974, 18:10:48.4,51.64,-3.05,-1.3126580942218926,3.4820651067990283,,, ,, NEWPORT,
25/02/1974, 20:03:43.5,51.64,-3.12,,3.789952968873889,,, ,, NEWPORT,
09/07/1974, 00:25:00.0,51.6,-3.2,,2.096569727462152,,, ,, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,,3.328121175761597,,,4,, SOUTHWALES,
16/11/1978, 23:22:00.0,51.75,-3.27,,-0.9823088932864626,,, ,, MERTHYR TYD.,
20/03/1979, 20:14:00.0,51.76,-3.23,,0.5571304170878446,,, ,, RHYMNEY AREA,
29/01/1980, 21:43:00.0,51.57,-3.26,,0.09529862397555236,,, ,, TREFORREST,
07/03/1980, 09:37:00.0,51.66,-3.12,,0.8650182791627063,,, ,, EBBW VALE,
18/05/1980, 20:11:00.0,51.72,-3.27,,-0.9823088932864626,,, ,, MERTHYR TYD.,
22/06/1980, 12:04:18.8,51.66,-3.02,,1.1729061412375674,,, ,, NEWPORT AREA,
09/11/1981, 03:10:35.9,51.639,-3.041,-0.9698845135974725,1.3268500722749983,17.0,0.6,3,, CWMBRAN,
09/11/1981, 04:20:25.8,51.751,-3.13,-1.3126580942218926,0.7110743481252755,5.0,0.5,3,, CWMBRAN,
20/08/1983, 00:48:31.8,51.768,-3.852,-0.5910295034336398,-0.9823088932864626,6.0,0.1, ,, GLANAMAN,W.GLAMORGAN
23/08/1983, 10:38:39.4,51.653,-3.068,-0.8796809397489409,-0.9823088932864626,5.0,0.3, ,, CWMBRAN,GWENT
05/12/1983, 00:56:15.9,51.661,-3.091,-0.8796809397489409,-0.8283649622490318,4.0,0.3, ,, CWMBRAN,GWENT
13/02/1986, 00:39:12.0,51.641,-3.219,-1.3306988089915988,-0.21258923809930902,9.0,0.7, ,, BARGOED,MID GLAMORGAN
19/07/1986, 15:37:18.6,51.701,-3.282,1.5738562689311189,-0.9823088932864626,4.0,0.2, ,, MERTHYR VALE,MID GLAM
19/09/1986, 20:57:17.5,51.617,-3.344,1.375408406464349,-0.9823088932864626,4.0,0.1, ,, PONTYPRIDD,M GLAMORGAN
22/09/1986, 02:50:18.3,51.581,-3.341,-0.21217449326980703,-0.8283649622490318,5.0,0.2, ,, PONTYPRIDD,M GLAMORGAN
13/05/1988, 11:18:45.3,51.784,-3.633,1.5197341246219997,-0.3665331691367399,4.0,0.1, ,, ABERCRAF,POWYS
02/06/1988, 21:46:37.0,51.714,-3.368,-0.23021520803951345,-0.6744210312116012,7.0,0.3, ,, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,1.0687162553793417,-0.9823088932864626,4.0,0.0, ,, ABERTILLERY,GWENT
20/09/1988, 16:16:56.2,51.692,-3.289,-1.3306988089915988,-0.9823088932864626,6.0,0.2,3,, SE MERTHYR TYD,POWYS
13/10/1988, 12:17:50.6,51.69,-3.191,2.89082844711968,-0.8283649622490318,4.0,0.2, ,, MERTHYR VALE,MID GLAM
