yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,-0.46044571086972363,2.432289696464387,,, ,, NEATH,
25/02/1974, 18:10:48.4,51.64,-3.05,-1.273435828175613,3.522998170342252,,, ,, NEWPORT,
25/02/1974, 20:03:43.5,51.64,-3.12,,3.8346291628787856,,, ,, NEWPORT,
09/07/1974, 00:25:00.0,51.6,-3.2,,2.120658703927854,,, ,, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,,3.367182674073986,,,4,, SOUTHWALES,
16/11/1978, 23:22:00.0,51.75,-3.27,,-0.9956512214374769,,, ,, MERTHYR TYD.,
20/03/1979, 20:14:00.0,51.76,-3.23,,0.5625037412451885,,, ,, RHYMNEY AREA,
29/01/1980, 21:43:00.0,51.57,-3.26,,0.09505725244038882,,, ,, TREFORREST,
07/03/1980, 09:37:00.0,51.66,-3.12,,0.8741347337817218,,, ,, EBBW VALE,
18/05/1980, 20:11:00.0,51.72,-3.27,,-0.9956512214374769,,, ,, MERTHYR TYD.,
22/06/1980, 05:34:49.7,51.68,-3.02,,0.2508727487086555,,, ,, NEWPORT AREA,
22/06/1980, 12:04:18.8,51.66,-3.02,,1.1857657263182544,,, ,, NEWPORT AREA,
09/11/1981, 03:10:35.9,51.639,-3.041,-0.9581947622814927,1.3415812225865211,17.0,0.6,3,, CWMBRAN,
09/11/1981, 04:20:25.8,51.751,-3.13,-1.273435828175613,0.7183192375134552,5.0,0.5,3,, CWMBRAN,
20/08/1983, 00:48:31.8,51.768,-3.852,-0.6097704262932544,-0.9956512214374769,6.0,0.1, ,, GLANAMAN,W.GLAMORGAN
23/08/1983, 10:38:39.4,51.653,-3.068,-0.8752365870461979,-0.9956512214374769,5.0,0.3, ,, CWMBRAN,GWENT
05/12/1983, 00:56:15.9,51.661,-3.091,-0.8752365870461979,-0.8398357251692101,4.0,0.3, ,, CWMBRAN,GWENT
13/02/1986, 00:39:12.0,51.641,-3.219,-1.290027463222672,-0.21657374009614416,9.0,0.7, ,, BARGOED,MID GLAMORGAN
25/02/1986, 08:58:45.9,51.803,-3.607,-1.290027463222672,-0.8398357251692101,3.0,0.1, ,, KNIGHTON,POWYS
19/07/1986, 15:37:18.6,51.701,-3.282,1.381225779353822,-0.9956512214374769,4.0,0.2, ,, MERTHYR VALE,MID GLAM
19/09/1986, 20:57:17.5,51.617,-3.344,1.198717793836173,-0.9956512214374769,4.0,0.1, ,, PONTYPRIDD,M GLAMORGAN
22/09/1986, 02:50:18.3,51.581,-3.341,-0.261346090305016,-0.8398357251692101,5.0,0.2, ,, PONTYPRIDD,M GLAMORGAN
16/01/1987, 11:13:45.6,51.823,-3.601,4.334536817730318,-0.9956512214374769,5.0,0.0, ,, YSTRADFELLTE,POWYS
13/05/1988, 11:18:45.3,51.784,-3.633,1.331450874212645,-0.37238923636441085,4.0,0.1, ,, ABERCRAF,POWYS
02/06/1988, 21:46:37.0,51.714,-3.368,-0.27793772535207506,-0.6840202289009438,7.0,0.3, ,, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,0.9166599980361708,-0.9956512214374769,4.0,0.0, ,, ABERTILLERY,GWENT
20/09/1988, 16:16:56.2,51.692,-3.289,-1.290027463222672,-0.9956512214374769,6.0,0.2,3,, SE MERTHYR TYD,POWYS
13/10/1988, 12:17:50.6,51.69,-3.191,2.5924151377891262,-0.8398357251692101,4.0,0.2, ,, MERTHYR VALE,MID GLAM
24/03/1989, 00:49:00.9,51.685,-3.258,-1.2236609230344362,-0.21657374009614416,5.0,0.2,2,, BARGOED,MID GLAMORGAN
08/04/1989, 16:54:09.8,51.826,-4.091,-0.5268122510579596,-0.8398357251692101,9.0,0.1, ,, LLANELLI,DYFED
28/09/1989, 12:23:05.4,51.814,-3.091,2.3933155172244187,-0.37238923636441085,4.0,0.2, ,, ABERGAVENNY,GWENT
21/06/1990, 01:48:43.7,51.661,-3.07,-1.0079696674226695,0.09505725244038882,6.0,0.2, ,, CWMBRAN,GWENT
19/10/1990, 09:46:22.1,51.688,-3.252,-1.290027463222672,-0.6840202289009438,7.0,0.3,2,, HENGOED,MID GLAMORGAN
25/10/1990, 14:28:06.5,51.571,-3.482,1.1821261587891143,-0.8398357251692101,4.0,0.2, ,, BRIDGEND,MID GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,-1.256844193128554,-0.6840202289009438,5.0,0.3,2,, GELLIGAER,SOUTH WALES
08/12/1990, 00:35:03.1,51.709,-3.267,-1.290027463222672,-0.0607582438278775,6.0,0.5, ,, RHONNDA,MID GLAMORGAN
09/01/1991, 01:28:14.7,51.67,-3.29,-0.8586449519991389,-0.6840202289009438,3.0,,3,, GELLIGAER,M GLAMORGAN
04/04/1991, 04:16:42.5,51.678,-3.066,-1.290027463222672,0.5625037412451885,15.0,0.3, ,, PONTYWAUN,GWENT
19/06/1991, 22:07:09.5,51.545,-3.189,-0.04565483469324946,-0.9956512214374769,9.0,0.2, ,, CAERPHILLY,M GLAMORGAN
13/03/1992, 23:26:12.5,51.71,-3.289,-1.273435828175613,-0.21657374009614416,6.0,0.1, ,, BEDLINOG,MID GLAMORGAN
11/04/1992, 06:45:38.2,51.643,-3.103,1.281675969071468,0.09505725244038882,12.0,0.2, ,, ABERCARN,GWENT
11/04/1992, 06:54:30.3,51.633,-3.098,1.231901063930291,-0.6840202289009438,4.0,0.0, ,, ABERCARN,GWENT
20/04/1992, 22:20:26.6,51.695,-3.552,0.4686858517655785,-0.8398357251692101,10.0,0.1, ,, TREHERBERT,M GLAMORGAN
13/05/1992, 08:55:52.4,51.663,-3.103,1.348042509259704,-0.21657374009614416,4.0,0.0, ,, NEWBRIDGE,GWENT
17/08/1992, 00:53:35.1,51.684,-3.26,-1.273435828175613,0.8741347337817218,21.0,0.3,5,, BARGOED,MID GLAMORGAN
31/08/1992, 20:49:19.4,51.711,-3.303,-1.273435828175613,-0.8398357251692101,4.0,0.1, ,, BEDLINOG,MID GLAMORGAN
18/03/1993, 02:31:43.3,51.615,-3.283,0.3691360414832247,-0.37238923636441085,10.0,0.3, ,, SENGHENYDD,M GLAMORGAN
15/12/1993, 15:30:42.8,51.675,-3.26,-1.273435828175613,-0.6840202289009438,6.0,0.1, ,, BARGOED,MID GLAMORGAN
31/12/1993, 21:20:58.6,51.604,-3.602,-0.6761369664814902,0.2508727487086555,14.0,0.2, ,, PONTYCYMER,W GLAMORGAN
28/01/1994, 06:05:47.3,51.546,-3.207,0.10366988073028131,-0.8398357251692101,10.0,0.3, ,, CARDIFF,S GLAMORGAN
22/06/1994, 22:16:50.3,51.63,-3.134,1.0162098083185245,0.5625037412451885,29.0,0.2, ,, ABERCARN,GWENT
17/08/1994, 23:50:50.7,51.697,-3.249,-1.273435828175613,0.5625037412451885,24.0,0.2,3,, BARGOED,MID GLAMORGAN
13/03/1995, 22:45:10.5,51.553,-3.134,0.6180105671891093,0.7183192375134552,15.0,0.2, ,, CARDIFF,SOUTH GLAMORGAN
29/03/1995, 18:05:08.0,51.774,-3.456,1.0825763485067605,-0.8398357251692101,6.0,0.1, ,, MERTHYR TYDFIL,M GLAM
02/04/1995, 03:46:27.3,51.762,-3.734,0.3359527713891069,-0.37238923636441085,14.0,0.2, ,, NEATH,WEST GLAMORGAN
04/10/1995, 20:40:27.2,51.71,-4.144,0.41891094662440176,0.09505725244038882,,, ,, LLANELLI,DYFED
07/12/1995, 14:16:52.2,51.772,-4.173,1.0328014433655834,-0.0607582438278775,,, ,, LLANELLI,DYFED
18/11/1996, 00:03:56.4,51.766,-3.838,-0.37748753563442883,-0.9956512214374769,,, ,, GLANAMAN,DYFED
14/11/1997, 00:30:45.4,51.627,-3.034,-0.5765871561991365,0.2508727487086555,,, ,, NEWPORT,GWENT
19/11/1997, 13:12:56.4,51.699,-4.243,2.0448911812361805,0.09505725244038882,,, ,, BURRY PORT,DYFED
11/02/1998, 20:39:19.3,51.633,-3.014,-0.4272624407756057,1.0299502300499879,,,3,, CWMBRAN,GWENT
23/11/1998, 13:43:34.8,51.701,-3.066,1.198717793836173,0.5625037412451885,,, ,, PONTYPOOL,GWENT
07/12/1998, 10:50:58.2,51.673,-3.2,-0.012471564599131495,-0.37238923636441085,,, ,, BLACKWOOD,GWENT
