yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
23/05/1975, 13:04:44.4,51.7,-3.3,NA,3.8,NA,NA,4,NA, SOUTHWALES,
16/11/1978, 23:22:00.0,51.75,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
18/05/1980, 20:11:00.0,51.72,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
20/08/1983, 00:48:31.8,51.768,-3.852,4.1,1,6,0.1, ,NA, GLANAMAN,W.GLAMORGAN
02/06/1988, 21:46:37.0,51.714,-3.368,6.1,1.2,7,0.3, ,NA, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,13.3,1,4,0, ,NA, ABERTILLERY,GWENT
08/12/1990, 00:35:03.1,51.709,-3.267,0,1.6,6,0.5, ,NA, RHONNDA,MID GLAMORGAN
09/01/1991, 01:28:14.7,51.67,-3.29,2.6,1.2,3,NA,3,NA, GELLIGAER,M GLAMORGAN
13/03/1992, 23:26:12.5,51.71,-3.289,0.1,1.5,6,0.1, ,NA, BEDLINOG,MID GLAMORGAN
31/12/1993, 21:20:58.6,51.604,-3.602,3.7,1.8,14,0.2, ,NA, PONTYCYMER,W GLAMORGAN
03/03/1999, 23:02:44.2,51.73,-3.259,0.3,1,NA,NA, ,NA, NEW TREDEGAR,MID GLAM
18/03/1999, 02:38:22.1,51.714,-3.296,1.9,1.1,NA,NA, ,NA, BEDLINOG,MID GLAMORGAN
17/02/2002, 15:44:06.7,51.706,-3.261,2.4,2,10,0.1, ,NA, BARGOED,MID GLAMORGAN
23/01/2003, 17:34:31.7,51.716,-3.336,10.3,1.5,8,0.1, ,NA, MERTHYR TYDFIL,M GLAMO
01/08/2005, 21:11:56.2,51.704,-3.173,2,1.2,8,0.1, ,NA, BLACKWOOD,GWENT
30/06/2007, 01:49:18.6,51.728,-3.419,7.5,1.3,10,0.3, ,NA, ABERDARE,MID GLAMORGAN
12/09/2010, 05:14:56.1,51.711,-3.397,9.8,1.3,6,0.1, ,NA, ABERDARE,MID GLAMORGAN
15/11/2011, 16:05:54.4,51.616,-3.581,9.3,1.5,10,0.3,2,NA, MAESTEG,BRIDGEND
19/04/2012, 07:41:31.7,51.62,-3.602,8,1.2,8,0.2, ,NA, MAESTEG,BRIDGEND
25/02/2015, 10:41:24.9,51.636,-3.594,4.8,2,12,0.3,3,NA, BLAENGARW,BRIDGEND
08/08/2020, 11:09:41.7,51.592,-3.405,2.1,1,5,0.2, ,NA, TONYREFAIL,RHONDDA CT
06/09/2020, 10:44:11.8,51.593,-3.412,2.2,1.4,9,0.2, ,NA, TONYREFAIL,RHONDDA CT
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
