yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,5,3.2,NA,NA, ,NA, NEATH,
25/02/1974, 18:10:48.4,51.64,-3.05,0.1,3.9,NA,NA, ,NA, NEWPORT,
25/02/1974, 20:03:43.5,51.64,-3.12,NA,4.1,NA,NA, ,NA, NEWPORT,
09/07/1974, 00:25:00.0,51.6,-3.2,NA,3,NA,NA, ,NA, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,NA,3.8,NA,NA,4,NA, SOUTHWALES,
16/11/1978, 23:22:00.0,51.75,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
20/03/1979, 20:14:00.0,51.76,-3.23,NA,2,NA,NA, ,NA, RHYMNEY AREA,
29/01/1980, 21:43:00.0,51.57,-3.26,NA,1.7,NA,NA, ,NA, TREFORREST,
07/03/1980, 09:37:00.0,51.66,-3.12,NA,2.2,NA,NA, ,NA, EBBW VALE,
18/05/1980, 20:11:00.0,51.72,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
09/11/1981, 04:20:25.8,51.751,-3.13,0.1,2.1,5,0.5,3,NA, CWMBRAN,
20/08/1983, 00:48:31.8,51.768,-3.852,4.1,1,6,0.1, ,NA, GLANAMAN,W.GLAMORGAN
23/08/1983, 10:38:39.4,51.653,-3.068,2.5,1,5,0.3, ,NA, CWMBRAN,GWENT
05/12/1983, 00:56:15.9,51.661,-3.091,2.5,1.1,4,0.3, ,NA, CWMBRAN,GWENT
13/02/1986, 00:39:12.0,51.641,-3.219,0,1.5,9,0.7, ,NA, BARGOED,MID GLAMORGAN
19/07/1986, 15:37:18.6,51.701,-3.282,16.1,1,4,0.2, ,NA, MERTHYR VALE,MID GLAM
19/09/1986, 20:57:17.5,51.617,-3.344,15,1,4,0.1, ,NA, PONTYPRIDD,M GLAMORGAN
22/09/1986, 02:50:18.3,51.581,-3.341,6.2,1.1,5,0.2, ,NA, PONTYPRIDD,M GLAMORGAN
13/05/1988, 11:18:45.3,51.784,-3.633,15.8,1.4,4,0.1, ,NA, ABERCRAF,POWYS
02/06/1988, 21:46:37.0,51.714,-3.368,6.1,1.2,7,0.3, ,NA, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,13.3,1,4,0, ,NA, ABERTILLERY,GWENT
20/09/1988, 16:16:56.2,51.692,-3.289,0,1,6,0.2,3,NA, SE MERTHYR TYD,POWYS
13/10/1988, 12:17:50.6,51.69,-3.191,23.4,1.1,4,0.2, ,NA, MERTHYR VALE,MID GLAM
24/03/1989, 00:49:00.9,51.685,-3.258,0.4,1.5,5,0.2,2,NA, BARGOED,MID GLAMORGAN
08/04/1989, 16:54:09.8,51.826,-4.091,4.6,1.1,9,0.1, ,NA, LLANELLI,DYFED
28/09/1989, 12:23:05.4,51.814,-3.091,22.2,1.4,4,0.2, ,NA, ABERGAVENNY,GWENT
21/06/1990, 01:48:43.7,51.661,-3.07,1.7,1.7,6,0.2, ,NA, CWMBRAN,GWENT
19/10/1990, 09:46:22.1,51.688,-3.252,0,1.2,7,0.3,2,NA, HENGOED,MID GLAMORGAN
25/10/1990, 14:28:06.5,51.571,-3.482,14.9,1.1,4,0.2, ,NA, BRIDGEND,MID GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,0.2,1.2,5,0.3,2,NA, GELLIGAER,SOUTH WALES
