yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,5,3.2,NA,NA, ,NA, NEATH,
09/07/1974, 00:25:00.0,51.6,-3.2,NA,3,NA,NA, ,NA, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,NA,3.8,NA,NA,4,NA, SOUTHWALES,
20/03/1979, 20:14:00.0,51.76,-3.23,NA,2,NA,NA, ,NA, RHYMNEY AREA,
29/01/1980, 21:43:00.0,51.57,-3.26,NA,1.7,NA,NA, ,NA, TREFORREST,
07/03/1980, 09:37:00.0,51.66,-3.12,NA,2.2,NA,NA, ,NA, EBBW VALE,
18/05/1980, 20:11:00.0,51.72,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
09/11/1981, 04:20:25.8,51.751,-3.13,0.1,2.1,5,0.5,3,NA, CWMBRAN,
13/02/1986, 00:39:12.0,51.641,-3.219,0,1.5,9,0.7, ,NA, BARGOED,MID GLAMORGAN
19/07/1986, 15:37:18.6,51.701,-3.282,16.1,1,4,0.2, ,NA, MERTHYR VALE,MID GLAM
04/09/1986, 13:09:46.4,51.861,-3.944,0,1.3,4,0.1, ,NA, NR LLANDEILO,DYFED
22/09/1986, 02:50:18.3,51.581,-3.341,6.2,1.1,5,0.2, ,NA, PONTYPRIDD,M GLAMORGAN
16/01/1987, 11:13:45.6,51.823,-3.601,33.9,1,5,0, ,NA, YSTRADFELLTE,POWYS
02/06/1988, 21:46:37.0,51.714,-3.368,6.1,1.2,7,0.3, ,NA, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,13.3,1,4,0, ,NA, ABERTILLERY,GWENT
20/09/1988, 16:16:56.2,51.692,-3.289,0,1,6,0.2,3,NA, SE MERTHYR TYD,POWYS
24/03/1989, 00:49:00.9,51.685,-3.258,0.4,1.5,5,0.2,2,NA, BARGOED,MID GLAMORGAN
08/04/1989, 16:54:09.8,51.826,-4.091,4.6,1.1,9,0.1, ,NA, LLANELLI,DYFED
19/10/1990, 09:46:22.1,51.688,-3.252,0,1.2,7,0.3,2,NA, HENGOED,MID GLAMORGAN
25/10/1990, 14:28:06.5,51.571,-3.482,14.9,1.1,4,0.2, ,NA, BRIDGEND,MID GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,0.2,1.2,5,0.3,2,NA, GELLIGAER,SOUTH WALES
03/12/1990, 01:17:08.5,51.806,-3.47,14.1,1.6,9,0.4, ,NA, ABERDARE,MID GLAMORGAN
08/12/1990, 00:35:03.1,51.709,-3.267,0,1.6,6,0.5, ,NA, RHONNDA,MID GLAMORGAN
09/01/1991, 01:28:14.7,51.67,-3.29,2.6,1.2,3,NA,3,NA, GELLIGAER,M GLAMORGAN
04/04/1991, 04:16:42.5,51.678,-3.066,0,2,15,0.3, ,NA, PONTYWAUN,GWENT
19/06/1991, 22:07:09.5,51.545,-3.189,7.5,1,9,0.2, ,NA, CAERPHILLY,M GLAMORGAN
