yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,-0.3744980764177196,2.4976425130479614,,, ,, NEATH,
09/07/1974, 00:25:00.0,51.6,-3.2,,2.176020333293525,,, ,, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,,3.4625090523112685,,,4,, SOUTHWALES,
20/03/1979, 20:14:00.0,51.76,-3.23,,0.5679094345213458,,, ,, RHYMNEY AREA,
29/01/1980, 21:43:00.0,51.57,-3.26,,0.0854761648896919,,, ,, TREFORREST,
07/03/1980, 09:37:00.0,51.66,-3.12,,0.889531614275782,,, ,, EBBW VALE,
18/05/1980, 20:11:00.0,51.72,-3.27,,-1.0402014642508335,,, ,, MERTHYR TYD.,
09/11/1981, 04:20:25.8,51.751,-3.13,-1.2115061577249169,0.7287205243985638,5.0,0.5,3,, CWMBRAN,
13/02/1986, 00:39:12.0,51.641,-3.219,-1.2285879553026147,-0.2361460148647439,9.0,0.7, ,, BARGOED,MID GLAMORGAN
19/07/1986, 15:37:18.6,51.701,-3.282,1.5215814547067479,-1.0402014642508335,4.0,0.2, ,, MERTHYR VALE,MID GLAM
04/09/1986, 13:09:46.4,51.861,-3.944,-1.2285879553026147,-0.5577681946191797,4.0,0.1, ,, NR LLANDEILO,DYFED
22/09/1986, 02:50:18.3,51.581,-3.341,-0.16951650548534478,-0.8793903743736154,5.0,0.2, ,, PONTYPRIDD,M GLAMORGAN
16/01/1987, 11:13:45.6,51.823,-3.601,4.562141423536974,-1.0402014642508335,5.0,0.0, ,, YSTRADFELLTE,POWYS
02/06/1988, 21:46:37.0,51.714,-3.368,-0.18659830306304276,-0.7185792844963977,7.0,0.3, ,, ABERDARE,MID GLAMORGAN
25/07/1988, 12:18:22.4,51.704,-3.162,1.0432911225312063,-1.0402014642508335,4.0,0.0, ,, ABERTILLERY,GWENT
20/09/1988, 16:16:56.2,51.692,-3.289,-1.2285879553026147,-1.0402014642508335,6.0,0.2,3,, SE MERTHYR TYD,POWYS
24/03/1989, 00:49:00.9,51.685,-3.258,-1.160260764991823,-0.2361460148647439,5.0,0.2,2,, BARGOED,MID GLAMORGAN
08/04/1989, 16:54:09.8,51.826,-4.091,-0.4428252667285113,-0.8793903743736154,9.0,0.1, ,, LLANELLI,DYFED
19/10/1990, 09:46:22.1,51.688,-3.252,-1.2285879553026147,-0.7185792844963977,7.0,0.3,2,, HENGOED,MID GLAMORGAN
25/10/1990, 14:28:06.5,51.571,-3.482,1.3165998837743726,-0.8793903743736154,4.0,0.2, ,, BRIDGEND,MID GLAMORGAN
20/11/1990, 17:14:14.9,51.687,-3.272,-1.1944243601472189,-0.7185792844963977,5.0,0.3,2,, GELLIGAER,SOUTH WALES
03/12/1990, 01:17:08.5,51.806,-3.47,1.1799455031527892,-0.07533492498752582,9.0,0.4, ,, ABERDARE,MID GLAMORGAN
08/12/1990, 00:35:03.1,51.709,-3.267,-1.2285879553026147,-0.07533492498752582,6.0,0.5, ,, RHONNDA,MID GLAMORGAN
09/01/1991, 01:28:14.7,51.67,-3.29,-0.7844612182824692,-0.7185792844963977,3.0,,3,, GELLIGAER,M GLAMORGAN
04/04/1991, 04:16:42.5,51.678,-3.066,-1.2285879553026147,0.5679094345213458,15.0,0.3, ,, PONTYWAUN,GWENT
19/06/1991, 22:07:09.5,51.545,-3.189,0.05254686302472791,-1.0402014642508335,9.0,0.2, ,, CAERPHILLY,M GLAMORGAN
16/02/1992, 12:41:06.9,51.542,-3.169,1.9998717868822886,-0.5577681946191797,,, ,, CARDIFF,S GLAMORGAN
13/03/1992, 23:26:12.5,51.71,-3.289,-1.2115061577249169,-0.2361460148647439,6.0,0.1, ,, BEDLINOG,MID GLAMORGAN
13/05/1992, 08:55:52.4,51.663,-3.103,1.4874178595513514,-0.2361460148647439,4.0,0.0, ,, NEWBRIDGE,GWENT
17/08/1992, 00:53:35.1,51.684,-3.26,-1.2115061577249169,0.889531614275782,21.0,0.3,5,, BARGOED,MID GLAMORGAN
31/08/1992, 20:49:19.4,51.711,-3.303,-1.2115061577249169,-0.8793903743736154,4.0,0.1, ,, BEDLINOG,MID GLAMORGAN
18/03/1993, 02:31:43.3,51.615,-3.283,0.4795918024671754,-0.396957104741962,10.0,0.3, ,, SENGHENYDD,M GLAMORGAN
15/12/1993, 15:30:42.8,51.675,-3.26,-1.2115061577249169,-0.7185792844963977,6.0,0.1, ,, BARGOED,MID GLAMORGAN
22/06/1994, 22:16:50.3,51.63,-3.134,1.1457819079973937,0.5679094345213458,29.0,0.2, ,, ABERCARN,GWENT
17/08/1994, 23:50:50.7,51.697,-3.249,-1.2115061577249169,0.5679094345213458,24.0,0.2,3,, BARGOED,MID GLAMORGAN
29/03/1995, 18:05:08.0,51.774,-3.456,1.2141090983081853,-0.8793903743736154,6.0,0.1, ,, MERTHYR TYDFIL,M GLAM
18/11/1996, 00:03:56.4,51.766,-3.838,-0.2890890885292301,-1.0402014642508335,,, ,, GLANAMAN,DYFED
23/11/1998, 13:43:34.8,51.701,-3.066,1.3336816813520704,0.5679094345213458,,, ,, PONTYPOOL,GWENT
07/12/1998, 10:50:58.2,51.673,-3.2,0.08671045818012375,-0.396957104741962,,, ,, BLACKWOOD,GWENT
25/12/1998, 08:49:44.1,51.809,-3.983,1.982789989304591,-0.2361460148647439,,, ,, AMMANFORD,DYFED
08/03/1999, 01:19:51.2,51.711,-3.304,-0.8527884085932608,-0.8793903743736154,,, ,, BEDLINOG,MID GLAMORGAN
