yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
19/06/1986, 08:33:23.4,51.7,-3.33,5.0,0.8, NR BARGOED,M GLAMORGAN,POINT (-761418.1353277804 5888451.581846902)
02/06/1988, 21:45:28.1,51.71,-3.36,7.8,0.3, ABERDARE,MID GLAMORGAN,POINT (-763178.0732376783 5890081.419136255)
02/06/1988, 21:46:37.0,51.714,-3.368,6.1,1.2, ABERDARE,MID GLAMORGAN,POINT (-763609.0653267629 5890662.492696291)
23/01/2003, 17:34:31.7,51.716,-3.336,10.3,1.5, MERTHYR TYDFIL,M GLAMO,POINT (-761370.515573333 5890313.9160958445)
13/10/2016, 18:09:11.7,51.739,-3.37,11.6,0.7, MERTHYR TYDFIL,MERTHYR,POINT (-763030.1272649933 5893441.4275055425)
21/01/2022, 23:45:47.1,51.722,-3.313,15.1,1.0, BEDLINOG,MERTHYR TYDFIL,POINT (-759631.510620997 5890564.749486078)
12/09/2010, 05:14:56.1,51.711,-3.397,9.8,1.3, ABERDARE,MID GLAMORGAN,POINT (-765671.85267999 5890848.992470505)
14/07/1985, 04:10:51.0,51.709,-3.447,7.5,0.7, ABERDARE,MID GLAMORGAN,POINT (-769137.6777925291 5891520.699452475)
20/04/1992, 22:20:26.6,51.695,-3.552,10.6,1.1, TREHERBERT,M GLAMORGAN,POINT (-776699.2482014459 5891864.472395845)
29/03/1995, 18:05:08.0,51.774,-3.456,14.3,1.1, MERTHYR TYDFIL,M GLAM,POINT (-767882.0515050937 5898813.035991978)
04/04/2002, 08:45:46.8,51.662,-3.402,8.0,1.5, MOUNTAIN ASH,MID GLAMO,POINT (-767416.5015122241 5885560.875755566)
18/09/2002, 05:20:10.3,51.713,-3.588,1.5,2.1, GLYN-NEATH,W GLAMORGAN,POINT (-778632.380945029 5894486.19685271)
30/06/2007, 01:49:18.6,51.728,-3.419,7.5,1.3, ABERDARE,MID GLAMORGAN,POINT (-766683.8697229128 5893106.1721359845)
