yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
16/02/1992, 12:41:06.9,51.542,-3.169,18.9,1.3, CARDIFF,S GLAMORGAN,POINT (-754900.5084332686 5868263.008408512)
09/02/1993, 13:02:33.5,51.557,-3.068,10.1,1.5, CARDIFF,S GLAMORGAN,POINT (-747563.6989354633 5868138.085978753)
13/03/1995, 22:45:10.5,51.553,-3.134,11.5,2.1, CARDIFF,SOUTH GLAMORGAN,POINT (-752194.201641869 5868855.599665075)
20/06/2002, 17:26:41.8,51.567,-3.081,14.3,2.9, CARDIFF,S GLAMORGAN,POINT (-748172.755423194 5869463.727455522)
04/03/2009, 12:04:27.1,51.528,-3.054,12.6,1.6, NEWPORT,SOUTH WALES,POINT (-747418.3307173229 5864708.428823619)
27/12/2016, 18:45:21.3,51.508,-3.114,13.0,0.9, RUMNEY,CARDIFF,POINT (-752090.8440168051 5863562.95232625)
11/08/2022, 13:32:57.2,51.577,-3.101,7.2,0.8, NEWPORT,GWENT,POINT (-749260.2781763242 5870912.113731201)
28/01/1994, 06:05:47.3,51.546,-3.207,8.4,1.1, CARDIFF,S GLAMORGAN,POINT (-757389.1166951277 5869371.628194124)
11/07/2017, 04:35:55.2,51.581,-3.2,12.6,1.1, BEDWAS,CAERPHILLY,POINT (-755920.1522777374 5873090.991408179)
24/07/2017, 21:59:02.5,51.573,-3.211,11.1,0.7, CAERPHILLY,CAERPHILLY,POINT (-756898.9818847612 5872406.578369394)
19/06/1991, 22:07:09.5,51.545,-3.189,7.5,1.0, CAERPHILLY,M GLAMORGAN,POINT (-756185.103512824 5868944.558903113)
