yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
24/09/1988, 21:36:23.5,51.779,-2.824,17.0,1.2, MONMOUTH,GLOUCS,POINT (-724706.6218637805 5888284.4697385505)
24/07/1993, 13:26:33.1,51.836,-2.879,9.3,0.4, ABERGAVENNY,GWENT,POINT (-726866.1470030174 5895491.604637724)
31/08/2001, 22:32:24.4,51.83,-2.906,12.8,1.0, ABERGAVENNY,GWENT,POINT (-728870.1300411338 5895299.04991678)
04/09/2015, 18:14:40.2,51.843,-2.876,17.7,0.8, CROSS ASH,MONMOUTHSHIRE,POINT (-726467.1322636588 5896208.472914213)
26/08/1984, 18:19:06.6,51.851,-2.866,6.2,1.0, NW OF MONMOUTH,GWENT,POINT (-725564.3143043737 5896914.453986215)
29/09/1985, 05:01:49.2,51.92,-2.91,5.0,0.5, NR ABERGAVENNY,GWENT,POINT (-726629.8117849617 5905249.49096586)
03/10/1986, 15:03:53.9,51.917,-2.762,12.2,1.6, GARWAY,HEREFORD & WOR,POINT (-716664.7707342356 5902374.908887745)
03/04/1988, 17:34:43.7,51.83,-2.676,2.8,0.6, MONMOUTH,GWENT,POINT (-713220.1753361148 5891350.518324409)
21/08/1992, 16:46:42.1,51.878,-2.747,13.3,1.7, MONMOUTH,GWENT,POINT (-716724.89899983 5897835.306487067)
06/08/1994, 23:07:01.6,51.901,-2.685,13.8,0.4, ROSS-ON-WYE,HER & WOR,POINT (-711876.7344485503 5899302.165859655)
18/10/1997, 23:57:55.9,51.858,-2.713,14.7,0.8, MONMOUTH,GWENT,POINT (-714965.7378579087 5895057.419053682)
18/04/2000, 17:29:57.4,51.856,-2.774,16.7,0.7, MONMOUTH,GWENT,POINT (-719169.303828053 5895881.798921106)
14/02/2001, 22:51:33.8,51.869,-2.871,13.0,1.2, ABERGAVENNY,GWENT,POINT (-725403.0601544618 5898977.08948447)
29/12/2012, 22:30:50.0,51.94,-2.819,14.8,1.4, PONTRILAS,HEREFORDSHIRE,POINT (-719896.1167235929 5905877.9540541945)
15/10/2013, 11:44:52.7,51.92,-2.784,19.6,1.0, ORCOP,HEREFORDSHIRE,POINT (-718075.486585096 5903081.286254583)
20/05/2015, 17:41:45.6,51.887,-2.937,21.8,0.8, PANDY,MONMOUTHSHIRE,POINT (-729385.6496705408 5902093.344322217)
12/08/2020, 04:35:22.4,51.877,-2.833,18.7,0.9, CROSS ASH,MONMOUTHSHIRE,POINT (-722597.7398242196 5899201.105044723)
06/02/2023, 15:37:48.6,51.893,-2.669,8.9,0.7, LLANGARRON,HEREF,POINT (-711009.950241358 5898150.8649498485)
