yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
25/08/1930, 21:00:00.0,51.67,-3.74,5.0,3.2, NEATH,,POINT (-790244.7808959368 5892516.358254294)
11/09/1992, 00:24:31.4,51.677,-3.724,14.1,0.8, NEATH,WEST GLAMORGAN,POINT (-788949.4227161827 5892993.82965488)
31/12/1993, 21:20:58.6,51.604,-3.602,3.7,1.8, PONTYCYMER,W GLAMORGAN,POINT (-782743.4750953543 5882780.184701316)
30/01/1994, 19:00:35.7,51.61,-3.601,6.1,0.6, PONTYCYMER,M GLAMORGAN,POINT (-782501.4891113741 5883420.454659602)
20/01/2000, 14:10:51.0,51.614,-3.625,11.4,1.8, MAESTEG,MID GLAMORGAN,POINT (-784024.9895703932 5884292.115868785)
16/06/2008, 01:10:14.2,51.598,-3.639,5.2,1.5, MAESTEG,BRIDGEND,POINT (-785445.297299209 5882789.509787243)
05/06/2009, 19:42:07.1,51.623,-3.645,3.6,2.9, MAESTEG,BRIDGEND,POINT (-785129.833229559 5885640.580081053)
17/01/2011, 14:28:11.2,51.595,-3.589,10.1,1.8, MAESTEG,BRIDGEND,POINT (-782115.5911965559 5881558.485016741)
19/04/2012, 07:41:31.7,51.62,-3.602,8.0,1.2, MAESTEG,BRIDGEND,POINT (-782280.3143541224 5884535.616993865)
08/02/2013, 18:04:22.7,51.681,-3.664,3.1,1.1, MAESTEG,BRIDGEND,POINT (-784741.6146070762 5892346.358739157)
29/10/2016, 02:02:35.0,51.674,-3.718,9.0,1.0, NEATH,NEATH PORT TALBOT,POINT (-788627.7645274161 5892555.996020411)
25/01/1988, 01:27:21.8,51.642,-3.559,0.4,0.8, W RHONDDA,MID GLAM,POINT (-778708.0694804518 5886175.453044657)
20/04/1992, 22:20:26.6,51.695,-3.552,10.6,1.1, TREHERBERT,M GLAMORGAN,POINT (-776699.2482014459 5891864.472395845)
18/09/2002, 05:20:10.3,51.713,-3.588,1.5,2.1, GLYN-NEATH,W GLAMORGAN,POINT (-778632.380945029 5894486.19685271)
01/01/2020, 17:28:35.5,51.603,-3.515,5.6,1.5, OGMORE VALE,BRIDGEND,POINT (-776827.9317527239 5881106.182418765)
06/01/2020, 02:35:08.7,51.602,-3.523,4.8,1.8, OGMORE VALE,BRIDGEND,POINT (-777403.4023955562 5881139.975039433)
15/11/2011, 16:05:54.4,51.616,-3.581,9.3,1.5, MAESTEG,BRIDGEND,POINT (-780961.7571214298 5883718.525168863)
25/02/2015, 10:41:24.9,51.636,-3.594,4.8,2.0, BLAENGARW,BRIDGEND,POINT (-781270.9077317612 5886146.888946246)
31/07/2014, 20:24:12.5,51.724,-3.678,5.7,0.9, NEATH,NEATH PORT TALBOT,POINT (-784444.819509892 5897315.911531426)
30/12/2016, 21:57:48.3,51.72,-3.676,7.5,0.4, GLYNNEATH,NP TALBOT,POINT (-784425.0109815754 5896841.029799088)
