yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
04/08/1988, 10:42:09.9,51.873,-3.174,2.8,0.7, HAY-ON-WYE,HER & WOR,POINT (-745880.0493393142 5904686.15911824)
07/04/2009, 03:05:15.9,51.9,-3.218,4.8,0.8, BRECON,POWYS,POINT (-748101.6123042768 5908421.947979125)
11/10/2011, 15:32:17.2,51.798,-3.146,19.3,1.4, BRYNMAWR,GWENT,POINT (-746099.3042634833 5895963.525181639)
15/05/2012, 06:41:44.8,51.808,-3.205,11.5,2.5, RASSAU,BLAENAU GWENT,POINT (-749830.7562911448 5898097.047137898)
14/11/2016, 07:20:09.1,51.888,-3.17,4.9,2.1, CRICKHOWELL,POWYS,POINT (-745183.2266100773 5906262.167412771)
19/04/2021, 06:27:15.1,51.838,-3.167,18.3,0.8, LLANGATTOCK,POWYS,POINT (-746395.9393902614 5900722.1233297)
26/02/1988, 06:54:19.9,51.911,-3.159,17.9,1.1, BRECON,POWYS,POINT (-743784.6816063665 5908593.424043173)
13/10/1988, 11:00:21.3,51.851,-3.073,46.8,0.5, MERTHYR TYDFIL,POWYS,POINT (-739638.2393907679 5900504.450078379)
28/09/1989, 12:23:05.4,51.814,-3.091,22.2,1.4, ABERGAVENNY,GWENT,POINT (-741905.0506104475 5896757.263961967)
03/04/1991, 19:45:55.1,51.93,-3.183,17.2,1.0, EARDISLEY,HEREFORD,POINT (-744874.4572909463 5911099.24046329)
28/07/1992, 05:47:50.6,51.799,-3.003,16.9,0.7, ABERGAVENNY,GWENT,POINT (-736338.0474102804 5893576.85153697)
09/07/1994, 21:18:20.4,51.803,-3.029,16.4,1.4, ABERGAVENNY,GWENT,POINT (-737995.512490676 5894468.354734247)
01/12/1994, 11:05:32.3,51.867,-2.964,21.1,1.1, ABERGAVENNY,GWENT,POINT (-731779.9442128656 5900365.270246387)
06/04/2000, 20:16:51.1,51.892,-2.975,15.0,0.8, ABERGAVENNY,GWENT,POINT (-731826.9758610774 5903300.513196083)
01/08/2002, 23:14:56.5,51.812,-3.006,15.3,1.6, ABERGAVENNY,GWENT,POINT (-736177.6364324472 5895056.242664774)
10/09/2010, 12:05:25.0,51.826,-3.022,25.6,1.6, ABERGAVENNY,GWENT,POINT (-736873.3121586866 5896871.500272776)
22/07/2016, 00:38:20.4,51.929,-3.118,16.3,0.6, CRICKHOWELL,POWYS,POINT (-740493.0063141158 5909851.304119713)
13/10/2017, 10:15:43.3,51.855,-3.059,14.6,1.0, GOVILON,MONMOUTHSHIRE,POINT (-738573.9269061738 5900699.370384172)
27/12/2022, 01:09:12.5,51.878,-3.051,17.5,2.0, LLANBEDR,POWYS,POINT (-737382.8739626557 5903084.627220864)
