yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
09/01/1980, 02:01:00.0,51.68,-2.8,,1.5, NEWPORT AREA,,POINT (-725812.8077203869 5876998.061175168)
05/12/1983, 00:56:30.2,51.67,-2.78,19.1,0.7, CWMBRAN,GWENT,POINT (-724723.461662774 5875555.743258127)
24/09/1988, 21:36:23.5,51.779,-2.824,17.0,1.2, MONMOUTH,GLOUCS,POINT (-724706.6218637805 5888284.4697385505)
20/05/1991, 19:45:34.6,51.739,-2.861,7.3,0.8, PONTYPOOL,GWENT,POINT (-728338.9602299419 5884529.115335006)
16/03/1998, 21:37:53.8,51.727,-2.845,26.6,1.0, USK,GWENT,POINT (-727581.1658560387 5882935.266774894)
28/12/2002, 14:36:03.2,51.708,-2.861,25.9,2.4, USK,GWENT,POINT (-729200.2967247881 5881124.522439947)
20/09/1979, 06:43:00.0,51.78,-2.64,,-0.4, MONMOUTH,,POINT (-712142.8666428186 5885244.774683536)
10/10/1983, 21:33:08.9,51.674,-2.646,19.7,1.3, CWMBRAN,GWENT,POINT (-715460.1968677724 5873701.604596397)
21/03/1986, 16:28:24.9,51.768,-2.665,25.7,1.5, NR MONMOUTH,GWENT,POINT (-714176.1619508138 5884352.493130932)
27/06/1986, 12:00:09.4,51.775,-2.657,23.1,1.5, NR MONMOUTH,GWENT,POINT (-713438.6027009068 5884985.080007463)
