yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
11/08/1986, 04:50:27.6,51.802,-3.319,2.5,0.4, MERTHYR TYDFIL,M GLAM,POINT (-757757.2340976452 5899450.14097123)
02/06/1988, 21:46:37.0,51.714,-3.368,6.1,1.2, ABERDARE,MID GLAMORGAN,POINT (-763609.0653267629 5890662.492696291)
13/10/2016, 18:09:11.7,51.739,-3.37,11.6,0.7, MERTHYR TYDFIL,MERTHYR,POINT (-763030.1272649933 5893441.4275055425)
12/09/2010, 05:14:56.1,51.711,-3.397,9.8,1.3, ABERDARE,MID GLAMORGAN,POINT (-765671.85267999 5890848.992470505)
09/05/2014, 03:30:26.7,51.835,-3.379,2.8,0.7, LLANGYNIDR,POWYS,POINT (-760893.1918704798 5904134.836624585)
12/01/1980, 08:49:56.7,51.829,-3.449,0.0,3.3, CWMBRAN,,POINT (-765823.5211432159 5904722.107492256)
14/07/1985, 04:10:51.0,51.709,-3.447,7.5,0.7, ABERDARE,MID GLAMORGAN,POINT (-769137.6777925291 5891520.699452475)
03/12/1990, 01:17:08.5,51.806,-3.47,14.1,1.6, ABERDARE,MID GLAMORGAN,POINT (-767913.4388809416 5902573.595749274)
07/10/1992, 08:57:20.3,51.831,-3.494,13.3,1.4, M TYDFIL,MID GLAMORGAN,POINT (-768824.4753192165 5905744.8252938455)
07/10/1992, 09:25:31.9,51.82,-3.485,9.3,1.1, M TYDFIL,MID GLAMORGAN,POINT (-768529.948363903 5904377.32451234)
29/03/1995, 18:05:08.0,51.774,-3.456,14.3,1.1, MERTHYR TYDFIL,M GLAM,POINT (-767882.0515050937 5898813.035991978)
30/06/2007, 01:49:18.6,51.728,-3.419,7.5,1.3, ABERDARE,MID GLAMORGAN,POINT (-766683.8697229128 5893106.1721359845)
10/09/2008, 15:05:50.6,51.846,-3.416,14.1,1.4, BRECON,POWYS,POINT (-763092.0510852737 5905999.336988594)
10/06/2009, 04:59:56.4,51.807,-3.423,12.3,1.9, VAYNOR,MERTHYR TYDFIL,POINT (-764688.233037221 5901845.264720131)
02/10/2022, 14:58:39.4,51.789,-3.576,7.8,1.4, YSTRADFELLTE,POWYS,POINT (-775614.1074496252 5902607.159444567)
13/05/1994, 19:52:05.7,51.874,-3.458,13.5,1.5, BRECON,POWYS,POINT (-765139.3819306295 5909819.02521426)
