yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
25/02/1974, 18:10:48.4,51.64,-3.05,0.1,3.9, NEWPORT,,POINT (-744003.5007897597 5876937.919232334)
09/11/1981, 03:10:35.9,51.639,-3.041,2.0,2.5, CWMBRAN,,POINT (-743416.6363634381 5876671.005427746)
09/10/1984, 06:31:52.8,51.555,-2.938,2.5,0.7, NEWPORT,GWENT,POINT (-738719.2956094733 5865652.823132053)
18/05/1985, 22:58:06.3,51.593,-3.089,18.0,0.9, NEWPORT GWENT,,POINT (-747989.5327082032 5872458.860967002)
16/02/1992, 12:41:06.9,51.542,-3.169,18.9,1.3, CARDIFF,S GLAMORGAN,POINT (-754900.5084332686 5868263.008408512)
11/04/1992, 06:54:30.3,51.633,-3.098,15.2,1.2, ABERCARN,GWENT,POINT (-747479.855826061 5877008.598298604)
27/05/1992, 23:15:20.1,51.609,-2.929,17.9,1.0, NEWPORT,GWENT,POINT (-736599.3222328958 5871427.812145377)
09/02/1993, 13:02:33.5,51.557,-3.068,10.1,1.5, CARDIFF,S GLAMORGAN,POINT (-747563.6989354633 5868138.085978753)
13/03/1995, 22:45:10.5,51.553,-3.134,11.5,2.1, CARDIFF,SOUTH GLAMORGAN,POINT (-752194.201641869 5868855.599665075)
14/11/1997, 00:30:45.4,51.627,-3.034,4.3,1.8, NEWPORT,GWENT,POINT (-743274.7619730139 5875231.138269213)
11/02/1998, 20:39:19.3,51.633,-3.014,5.2,2.3, CWMBRAN,GWENT,POINT (-741739.8204805253 5875541.2919379035)
17/07/2001, 21:36:24.4,51.636,-3.074,4.3,0.7, CWMBRAN,GWENT,POINT (-745755.6253421826 5876918.053479336)
20/06/2002, 17:26:41.8,51.567,-3.081,14.3,2.9, CARDIFF,S GLAMORGAN,POINT (-748172.755423194 5869463.727455522)
04/03/2009, 12:04:27.1,51.528,-3.054,12.6,1.6, NEWPORT,SOUTH WALES,POINT (-747418.3307173229 5864708.428823619)
27/05/2015, 01:22:03.4,51.612,-3.111,5.7,0.7, RISCA,CAERPHILLY,POINT (-748959.3820011041 5874930.532495551)
31/01/2016, 06:02:39.6,51.586,-3.066,10.8,0.9, ROGERSTONE,NEWPORT,POINT (-746612.9157352427 5871287.753803719)
27/12/2016, 18:45:21.3,51.508,-3.114,13.0,0.9, RUMNEY,CARDIFF,POINT (-752090.8440168051 5863562.95232625)
17/01/2017, 01:16:23.1,51.635,-3.008,6.3,0.5, CWMBRAN,TORFAEN,POINT (-741273.8044874091 5875656.3864597585)
17/06/2020, 05:54:29.5,51.546,-2.939,20.7,0.8, GOLDCLIFF,NEWPORT,POINT (-739038.4355886173 5864681.619470867)
26/06/2020, 06:11:07.8,51.549,-2.922,22.0,1.1, GOLDCLIFF,NEWPORT,POINT (-737790.6721915072 5864716.093715815)
10/07/2020, 14:36:12.0,51.575,-3.053,20.3,1.6, ROGERSTONE,NEWPORT,POINT (-746032.1058868398 5869852.540342582)
11/08/2022, 13:32:57.2,51.577,-3.101,7.2,0.8, NEWPORT,GWENT,POINT (-749260.2781763242 5870912.113731201)
