yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
09/10/1984, 06:31:52.8,51.555,-2.938,2.5,0.7, NEWPORT,GWENT,POINT (-738719.2956094733 5865652.823132053)
10/01/1990, 07:35:00.1,51.63,-2.95,19.2,1.7, CAERLEON,GWENT,POINT (-737449.645624016 5874098.637472092)
27/05/1992, 23:15:20.1,51.609,-2.929,17.9,1.0, NEWPORT,GWENT,POINT (-736599.3222328958 5871427.812145377)
19/02/2012, 13:34:43.7,51.634,-2.96,12.6,1.9, PONTHIR,MONMOUTHSHIRE,POINT (-738021.4841518609 5874711.599477008)
17/06/2020, 05:54:29.5,51.546,-2.939,20.7,0.8, GOLDCLIFF,NEWPORT,POINT (-739038.4355886173 5864681.619470867)
26/06/2020, 06:11:07.8,51.549,-2.922,22.0,1.1, GOLDCLIFF,NEWPORT,POINT (-737790.6721915072 5864716.093715815)
09/01/1980, 02:01:00.0,51.68,-2.8,,1.5, NEWPORT AREA,,POINT (-725812.8077203869 5876998.061175168)
30/01/1980, 02:58:00.0,51.65,-2.88,,1.7, NEWPORT AREA,,POINT (-732109.143666249 5875082.504226249)
07/02/1980, 05:17:00.0,51.65,-2.85,,2.4, NEWPORT AREA,,POINT (-730059.3446737626 5874564.321535547)
07/02/1980, 11:27:00.0,51.65,-2.82,,2.1, NEWPORT AREA,,POINT (-728009.450388303 5874047.044042723)
22/02/1980, 14:04:00.0,51.65,-2.83,,2.2, NEWPORT AREA,,POINT (-728692.7590579272 5874219.369306737)
05/12/1983, 00:56:30.2,51.67,-2.78,19.1,0.7, CWMBRAN,GWENT,POINT (-724723.461662774 5875555.743258127)
16/12/1983, 12:52:53.5,51.649,-2.845,3.5,0.5, CWMBRAN,GWENT,POINT (-729745.4361549064 5874368.205355634)
31/07/1984, 09:01:21.0,51.634,-2.887,0.1,0.3, CWMBRAN,GWENT,POINT (-733032.2045814169 5873446.192064539)
31/07/1984, 09:01:21.0,51.63,-2.89,0.1,0.3, CWMBRAN,GWENT,POINT (-733348.4573916474 5873058.746982873)
01/09/1984, 08:47:59.7,51.635,-2.893,0.5,0.7, NEWPORT,GWENT,POINT (-733414.4973084887 5873659.830560591)
10/11/1984, 07:45:09.7,51.602,-2.896,0.0,0.8, NEWPORT, GWENT,POINT (-734537.131028024 5870087.130757214)
15/05/2002, 07:21:39.7,51.601,-2.872,24.0,1.2, NEWPORT,GWENT,POINT (-732923.2387951119 5869562.086189322)
04/10/2005, 15:37:06.7,51.636,-2.877,16.2,1.5, NEWPORT,GWENT,POINT (-732293.1361584768 5873492.940892255)
16/05/2021, 15:16:49.4,51.604,-2.804,9.0,2.9, CALDICOT,MONMOUTHSHIRE,POINT (-728188.4929844374 5868718.385399541)
16/05/2021, 15:34:12.7,51.602,-2.806,6.9,0.6, CALDICOT,MONMOUTHSHIRE,POINT (-728380.6176343844 5868533.116602529)
