yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
23/05/1975, 13:04:44.4,51.7,-3.3,,3.8, SOUTHWALES,,POINT (-759372.2254188561 5887920.0657613585)
16/11/1978, 23:22:00.0,51.75,-3.27,,1.0, MERTHYR TYD.,,POINT (-755903.8069587303 5892877.153010647)
20/03/1979, 20:14:00.0,51.76,-3.23,,2.0, RHYMNEY AREA,,POINT (-752894.9482327627 5893268.998270322)
18/05/1980, 20:11:00.0,51.72,-3.27,,1.0, MERTHYR TYD.,,POINT (-756757.356712922 5889584.586899924)
20/01/1984, 19:40:22.4,51.701,-3.279,18.5,0.7, GELLIGAER,M GLAMORGAN,POINT (-757911.5752130388 5887658.300838147)
19/07/1986, 15:37:18.6,51.701,-3.282,16.1,1.0, MERTHYR VALE,MID GLAM,POINT (-758116.1727349376 5887711.347588627)
11/08/1986, 04:50:27.6,51.802,-3.319,2.5,0.4, MERTHYR TYDFIL,M GLAM,POINT (-757757.2340976452 5899450.14097123)
30/09/1988, 07:54:00.3,51.84,-3.271,0.1,0.7, NW MERTHYR TYD,POWYS,POINT (-753409.2611017125 5902771.570984804)
17/10/1988, 12:25:32.7,51.836,-3.31,17.5,0.7, MERTHYR TYDFIL,POWYS,POINT (-756174.396356391 5903021.694628445)
08/12/1990, 00:35:03.1,51.709,-3.267,0.0,1.6, RHONNDA,MID GLAMORGAN,POINT (-756865.6841677204 5888324.267673692)
12/03/1991, 21:19:58.1,51.714,-3.277,0.0,0.7, ABERDARE,MID GLAMORGAN,POINT (-757405.2811969363 5889049.765371435)
23/03/1991, 00:17:50.0,51.714,-3.275,0.8,0.9, BARGOED,MID GLAMORGAN,POINT (-757268.9240325403 5889014.414545224)
19/05/1991, 09:20:45.0,51.719,-3.229,22.4,0.8, BARGOED,MID GLAMORGAN,POINT (-753990.6941665325 5888751.2710624235)
13/03/1992, 23:26:12.5,51.71,-3.289,0.1,1.5, BEDLINOG,MID GLAMORGAN,POINT (-758337.3129314221 5888822.943811761)
03/07/1992, 22:19:08.3,51.706,-3.307,0.1,0.7, BEDLINOG,MID GLAMORGAN,POINT (-759678.6098362175 5888702.511935874)
05/07/1992, 02:51:20.9,51.785,-3.214,3.8,0.8, EBBW VALE,GWENT,POINT (-751095.8449243894 5895731.085459415)
31/08/1992, 20:49:19.4,51.711,-3.303,0.1,1.1, BEDLINOG,MID GLAMORGAN,POINT (-759263.3763975028 5889180.442258692)
06/09/1996, 00:20:24.2,51.755,-3.29,6.7,0.5, MERTHYR TYDFIL,MID GLAM,POINT (-757123.7507290856 5893779.342179358)
03/03/1999, 23:02:44.2,51.73,-3.259,0.3,1.0, NEW TREDEGAR,MID GLAM,POINT (-755723.1819895792 5890487.855231728)
08/03/1999, 01:19:51.2,51.711,-3.304,2.2,1.1, BEDLINOG,MID GLAMORGAN,POINT (-759331.5568168084 5889198.145917358)
18/03/1999, 02:38:22.1,51.714,-3.296,1.9,1.1, BEDLINOG,MID GLAMORGAN,POINT (-758700.652288582 5889385.799256253)
10/10/2001, 02:52:25.3,51.698,-3.255,6.5,3.1, BARGOED,MID GLAMORGAN,POINT (-756360.0044673677 5886904.970491375)
10/10/2001, 05:01:48.0,51.7,-3.253,5.3,1.6, BARGOED,MID GLAMORGAN,POINT (-756166.7673752918 5887089.181135936)
18/10/2001, 03:50:13.6,51.703,-3.255,7.9,2.5, BARGOED,MID GLAMORGAN,POINT (-756217.9276699608 5887453.7744193)
22/10/2001, 15:16:48.3,51.702,-3.254,7.6,1.6, BARGOED,MID GLAMORGAN,POINT (-756178.1433146815 5887326.358105643)
28/01/2002, 00:30:09.2,51.702,-3.258,5.1,1.7, BARGOED,MID GLAMORGAN,POINT (-756450.9442907909 5887396.987637144)
28/01/2002, 00:30:14.8,51.7,-3.257,6.3,2.5, BARGOED,MID GLAMORGAN,POINT (-756439.5817643481 5887159.80804982)
12/02/2002, 19:13:16.2,51.701,-3.256,5.2,3.0, BARGOED,MID GLAMORGAN,POINT (-756342.9613504903 5887251.910418729)
17/02/2002, 15:44:06.7,51.706,-3.261,2.4,2.0, BARGOED,MID GLAMORGAN,POINT (-756541.8386514417 5887889.0068642255)
24/02/2002, 23:18:35.4,51.7,-3.272,3.2,1.7, BARGOED,MID GLAMORGAN,POINT (-757462.6200773767 5887424.802580549)
16/03/2002, 05:07:14.7,51.702,-3.266,2.2,1.4, BARGOED,MID GLAMORGAN,POINT (-756996.5409723385 5887538.2950701965)
23/01/2003, 17:34:31.7,51.716,-3.336,10.3,1.5, MERTHYR TYDFIL,M GLAMO,POINT (-761370.515573333 5890313.9160958445)
11/10/2011, 15:32:17.2,51.798,-3.146,19.3,1.4, BRYNMAWR,GWENT,POINT (-746099.3042634833 5895963.525181639)
15/05/2012, 06:41:44.8,51.808,-3.205,11.5,2.5, RASSAU,BLAENAU GWENT,POINT (-749830.7562911448 5898097.047137898)
13/10/2016, 18:09:11.7,51.739,-3.37,11.6,0.7, MERTHYR TYDFIL,MERTHYR,POINT (-763030.1272649933 5893441.4275055425)
27/03/2019, 10:05:13.5,51.782,-3.227,7.5,0.9, EBBW VALE,BLAENAU GWENT,POINT (-752065.9446342625 5895630.72079814)
19/04/2021, 06:27:15.1,51.838,-3.167,18.3,0.8, LLANGATTOCK,POWYS,POINT (-746395.9393902614 5900722.1233297)
21/01/2022, 23:45:47.1,51.722,-3.313,15.1,1.0, BEDLINOG,MERTHYR TYDFIL,POINT (-759631.510620997 5890564.749486078)
24/02/2023, 23:59:41.6,51.838,-3.246,5.2,3.7, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
25/02/2023, 03:14:14.4,51.838,-3.246,5.2,0.1, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
25/02/2023, 23:01:16.1,51.838,-3.246,5.2,0.2, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
27/02/2023, 04:39:33.0,51.838,-3.246,5.2,0.3, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
28/02/2023, 16:49:45.7,51.838,-3.246,5.2,0.3, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
01/03/2023, 06:10:50.8,51.838,-3.246,5.2,0.1, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
02/03/2023, 13:26:46.9,51.838,-3.246,5.2,1.2, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
02/03/2023, 21:44:41.9,51.838,-3.246,5.2,0.1, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
04/03/2023, 23:07:46.5,51.838,-3.246,5.2,0.6, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
27/03/2023, 03:38:43.9,51.838,-3.246,5.2,0.4, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
28/03/2023, 20:31:04.4,51.838,-3.246,5.2,0.7, BRYNMAWR,GWENT,POINT (-751766.7578509776 5902111.210689225)
09/05/2014, 03:30:26.7,51.835,-3.379,2.8,0.7, LLANGYNIDR,POWYS,POINT (-760893.1918704798 5904134.836624585)
