yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
01/12/2004, 05:35:54.6,51.763,-3.017,22.9,1.9, BLAENAVON,GWENT,POINT (-738301.0885500843 5889867.945399353)
11/07/2017, 01:23:57.7,51.754,-3.03,16.4,1.3, LLANOVER,MONMOUTHSHIRE,POINT (-739439.3719836606 5889106.195239634)
07/03/1980, 21:57:00.0,51.68,-2.97,,1.6, NEWPORT AREA,,POINT (-737419.7243345177 5879936.979240688)
22/06/1980, 05:34:49.7,51.68,-3.02,,1.8, NEWPORT AREA,,POINT (-740832.9356883802 5880806.899300247)
22/06/1980, 12:04:18.8,51.66,-3.02,,2.4, NEWPORT AREA,,POINT (-741393.4168257983 5878610.759060786)
10/01/1990, 07:35:00.1,51.63,-2.95,19.2,1.7, CAERLEON,GWENT,POINT (-737449.645624016 5874098.637472092)
12/12/2003, 02:39:40.5,51.692,-3.035,15.3,1.1, PONTYPOOL,GWENT,POINT (-741520.2005541616 5882385.9868480535)
19/02/2012, 13:34:43.7,51.634,-2.96,12.6,1.9, PONTHIR,MONMOUTHSHIRE,POINT (-738021.4841518609 5874711.599477008)
09/01/1980, 02:01:00.0,51.68,-2.8,,1.5, NEWPORT AREA,,POINT (-725812.8077203869 5876998.061175168)
30/01/1980, 02:58:00.0,51.65,-2.88,,1.7, NEWPORT AREA,,POINT (-732109.143666249 5875082.504226249)
07/02/1980, 05:17:00.0,51.65,-2.85,,2.4, NEWPORT AREA,,POINT (-730059.3446737626 5874564.321535547)
07/02/1980, 11:27:00.0,51.65,-2.82,,2.1, NEWPORT AREA,,POINT (-728009.450388303 5874047.044042723)
22/02/1980, 14:04:00.0,51.65,-2.83,,2.2, NEWPORT AREA,,POINT (-728692.7590579272 5874219.369306737)
16/12/1983, 12:52:53.5,51.649,-2.845,3.5,0.5, CWMBRAN,GWENT,POINT (-729745.4361549064 5874368.205355634)
31/07/1984, 09:01:21.0,51.634,-2.887,0.1,0.3, CWMBRAN,GWENT,POINT (-733032.2045814169 5873446.192064539)
31/07/1984, 09:01:21.0,51.63,-2.89,0.1,0.3, CWMBRAN,GWENT,POINT (-733348.4573916474 5873058.746982873)
01/09/1984, 08:47:59.7,51.635,-2.893,0.5,0.7, NEWPORT,GWENT,POINT (-733414.4973084887 5873659.830560591)
19/06/1986, 05:05:25.3,51.764,-2.97,39.4,0.9, NR BARGOED,M GLAMORGAN,POINT (-735071.0041297602 5889160.7686812)
24/09/1988, 21:36:23.5,51.779,-2.824,17.0,1.2, MONMOUTH,GLOUCS,POINT (-724706.6218637805 5888284.4697385505)
20/05/1991, 19:45:34.6,51.739,-2.861,7.3,0.8, PONTYPOOL,GWENT,POINT (-728338.9602299419 5884529.115335006)
02/10/1991, 08:48:34.7,51.766,-2.904,22.6,0.7, RAGLAN,GWENT,POINT (-730518.3918232298 5888236.906398803)
16/03/1998, 21:37:53.8,51.727,-2.845,26.6,1.0, USK,GWENT,POINT (-727581.1658560387 5882935.266774894)
28/12/2002, 14:36:03.2,51.708,-2.861,25.9,2.4, USK,GWENT,POINT (-729200.2967247881 5881124.522439947)
04/10/2005, 15:37:06.7,51.636,-2.877,16.2,1.5, NEWPORT,GWENT,POINT (-732293.1361584768 5873492.940892255)
11/11/2016, 13:54:22.9,51.704,-3.003,14.9,0.8, PONTYPOOL,TORFAEN,POINT (-739000.3756754007 5883146.1950605335)
12/12/2017, 02:51:42.6,51.782,-2.95,13.8,1.4, LLANOVER,MONMOUTHSHIRE,POINT (-733205.335948095 5890790.232729867)
06/01/2018, 19:22:48.5,51.677,-2.957,5.9,1.0, LLANGYBI,MONMOUTHSHIRE,POINT (-736616.0204663379 5879381.762668586)
