yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,5,3.2,NA,NA, ,NA, NEATH,
17/03/1934, 07:30:00.0,51.52,-2.81,NA,2.8,NA,NA, ,NA, BRISTOL,
25/02/1974, 18:10:48.4,51.64,-3.05,0.1,3.9,NA,NA, ,NA, NEWPORT,
25/02/1974, 20:03:43.5,51.64,-3.12,NA,4.1,NA,NA, ,NA, NEWPORT,
09/07/1974, 00:25:00.0,51.6,-3.2,NA,3,NA,NA, ,NA, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,NA,3.8,NA,NA,4,NA, SOUTHWALES,
24/08/1975, 00:33:49.5,52.094,-2.761,135.1,3.5,6,0.9,4,NA, HEREFORD,
16/11/1978, 23:22:00.0,51.75,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
27/11/1978, 03:24:23.5,52.08,-3.26,NA,0.6,NA,NA, ,NA, HAY ON WYE,
18/02/1979, 19:26:00.0,52.19,-3.48,NA,1.1,NA,NA, ,NA, BUILTH WELLS,
20/03/1979, 20:14:00.0,51.76,-3.23,NA,2,NA,NA, ,NA, RHYMNEY AREA,
19/09/1979, 20:37:00.0,51.65,-3.33,NA,0.7,NA,NA, ,NA, PONTYPRIDD,
20/09/1979, 06:43:00.0,51.78,-2.64,NA,-0.4,NA,NA, ,NA, MONMOUTH,
09/01/1980, 02:01:00.0,51.68,-2.8,NA,1.5,NA,NA, ,NA, NEWPORT AREA,
12/01/1980, 08:49:56.7,51.829,-3.449,0,3.3,6,0.8,3,NA, CWMBRAN,
29/01/1980, 21:43:00.0,51.57,-3.26,NA,1.7,NA,NA, ,NA, TREFORREST,
30/01/1980, 02:58:00.0,51.65,-2.88,NA,1.7,NA,NA, ,NA, NEWPORT AREA,
07/02/1980, 05:17:00.0,51.65,-2.85,NA,2.4,NA,NA,3,NA, NEWPORT AREA,
07/02/1980, 11:27:00.0,51.65,-2.82,NA,2.1,NA,NA,3,NA, NEWPORT AREA,
22/02/1980, 14:04:00.0,51.65,-2.83,NA,2.2,NA,NA, ,NA, NEWPORT AREA,
07/03/1980, 09:37:00.0,51.66,-3.12,NA,2.2,NA,NA, ,NA, EBBW VALE,
07/03/1980, 21:57:00.0,51.68,-2.97,NA,1.6,NA,NA, ,NA, NEWPORT AREA,
14/05/1980, 21:58:00.0,52.17,-2.73,NA,0.7,NA,NA, ,NA, LEOMINSTER,
18/05/1980, 20:11:00.0,51.72,-3.27,NA,1,NA,NA, ,NA, MERTHYR TYD.,
22/06/1980, 05:34:49.7,51.68,-3.02,NA,1.8,NA,NA, ,NA, NEWPORT AREA,
22/06/1980, 12:04:18.8,51.66,-3.02,NA,2.4,NA,NA, ,NA, NEWPORT AREA,
30/07/1980, 22:57:00.0,52.17,-3.53,NA,2,NA,NA, ,NA, BUILTH WELLS,
24/02/1981, 19:29:00.0,52.04,-3.22,NA,0.8,NA,NA, ,NA, HAY ON WYE,
07/05/1981, 00:29:56.4,51.975,-3.599,7.7,2.3,8,0.5, ,NA, LLANDOVERY,
09/11/1981, 03:10:35.9,51.639,-3.041,2,2.5,17,0.6,3,NA, CWMBRAN,
09/11/1981, 04:20:25.8,51.751,-3.13,0.1,2.1,5,0.5,3,NA, CWMBRAN,
09/11/1981, 13:03:09.4,52.09,-3,NA,0.1,NA,NA, ,NA, HAY ON WYE,
04/04/1982, 21:43:46.6,51.94,-3.434,15.5,2.3,9,0.3, ,NA, PONT-FAEN,POWYS
20/05/1983, 01:03:43.8,52.126,-2.756,7.3,0.4,4,0.1, ,NA, WELLINGTON,HERFD&WOR
28/06/1983, 13:02:10.6,52.079,-4.194,7.8,1.3,6,0.2, ,NA, LAMPETER,DYFED
23/07/1983, 10:31:32.9,52.033,-2.812,29.8,0.7,5,0.3, ,NA, HEREFORD,HERFD&WOR
20/08/1983, 00:48:31.8,51.768,-3.852,4.1,1,6,0.1, ,NA, GLANAMAN,W.GLAMORGAN
23/08/1983, 10:38:39.4,51.653,-3.068,2.5,1,5,0.3, ,NA, CWMBRAN,GWENT
25/08/1983, 22:08:10.8,52.027,-2.691,12.5,1.1,5,0.1, ,NA, HEREFORD,HERF&WOR
10/10/1983, 21:33:08.9,51.674,-2.646,19.7,1.3,5,0.2, ,NA, CWMBRAN,GWENT
05/12/1983, 00:56:15.9,51.661,-3.091,2.5,1.1,4,0.3, ,NA, CWMBRAN,GWENT
05/12/1983, 00:56:30.2,51.67,-2.78,19.1,0.7,2,NA, ,NA, CWMBRAN,GWENT
16/12/1983, 12:52:53.5,51.649,-2.845,3.5,0.5,4,1.5, ,NA, CWMBRAN,GWENT
04/01/1984, 19:59:40.9,51.698,-3.241,0,0.7,8,0.2, ,NA, GELLIGAER,M GLAMORGAN
20/01/1984, 19:40:22.4,51.701,-3.279,18.5,0.7,4,0, ,NA, GELLIGAER,M GLAMORGAN
29/01/1984, 23:17:15.1,51.406,-3.042,2.4,0.7,7,0.1, ,NA, SEVERN ESTUARY,
09/02/1984, 13:03:51.0,52.146,-3.161,18.7,0.3,5,0.1, ,NA, PAINSCASTLE,POWYS
12/07/1984, 05:57:33.8,52.123,-2.951,17.7,1.1,5,0.1, ,NA, HEREFORD,HERF&WOR
31/07/1984, 09:01:21.0,51.634,-2.887,0.1,0.3,4,0.1, ,NA, CWMBRAN,GWENT
31/07/1984, 09:01:21.0,51.63,-2.89,0.1,0.3,NA,NA, ,NA, CWMBRAN,GWENT
19/08/1984, 12:28:49.8,51.426,-2.899,16.3,1.6,5,0.1, ,NA, NEWPORT,GWENT
20/08/1984, 02:23:20.7,52.118,-2.668,7.7,0.5,3,0.1, ,NA, HEREFORD,HERF&WOR
26/08/1984, 18:19:06.6,51.851,-2.866,6.2,1,3,0, ,NA, NW OF MONMOUTH,GWENT
01/09/1984, 08:47:59.7,51.635,-2.893,0.5,0.7,4,0.3, ,NA, NEWPORT,GWENT
09/10/1984, 06:31:52.8,51.555,-2.938,2.5,0.7,4,0, ,NA, NEWPORT,GWENT
10/11/1984, 07:45:09.7,51.602,-2.896,0,0.8,7,0.3, ,NA, NEWPORT, GWENT
10/01/1985, 12:46:49.6,51.868,-4.973,0.7,1.3,6,0.3, ,NA, NR HAVERFORDWEST,DYFED
01/05/1985, 08:17:29.5,52.041,-3.267,17,1.3,6,0.1, ,NA, NR BRECON,POWYS
18/05/1985, 22:58:06.3,51.593,-3.089,18,0.9,4,0, ,NA, NEWPORT GWENT,
23/05/1985, 23:13:34.1,52.008,-3.424,14.2,1.3,6,0.1, ,NA, NR BRECON,POWYS
25/05/1985, 03:20:39.8,52.13,-2.812,2.7,0.5,3,0.1, ,NA, NR HEREFORD,HER & WOR
14/07/1985, 04:10:51.0,51.709,-3.447,7.5,0.7,3,0, ,NA, ABERDARE,MID GLAMORGAN
21/08/1985, 03:24:09.1,51.938,-3.226,14.5,2.4,10,0.6, ,NA, BLACK MOUNTAINS,POWYS
29/09/1985, 05:01:49.2,51.92,-2.91,5,0.5,2,NA, ,NA, NR ABERGAVENNY,GWENT
11/11/1985, 11:22:05.1,51.458,-3.968,7.5,1.3,4,0.2, ,NA, BRISTOL CHANNEL,
