yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
25/08/1930, 21:00:00.0,51.67,-3.74,-0.5971208661774443,2.7961567034885846,,, ,, NEATH,
17/03/1934, 07:30:00.0,51.52,-2.81,,2.101055418667144,,, ,, BRISTOL,
25/02/1974, 18:10:48.4,51.64,-3.05,-1.1179029210069154,4.0125839519261035,,, ,, NEWPORT,
25/02/1974, 20:03:43.5,51.64,-3.12,,4.360134594336823,,, ,, NEWPORT,
09/07/1974, 00:25:00.0,51.6,-3.2,,2.4486060610778644,,, ,, SOUTH WALES,
23/05/1975, 13:04:44.4,51.7,-3.3,,3.8388086307207434,,,4,, SOUTHWALES,
24/08/1975, 00:33:49.5,52.094,-2.761,13.230174099805042,3.317482667104664,6.0,0.9,4,, HEREFORD,
16/11/1978, 23:22:00.0,51.75,-3.27,,-1.0269003630293339,,, ,, MERTHYR TYD.,
18/02/1979, 19:26:00.0,52.19,-3.48,,-0.8531250418239738,,, ,, BUILTH WELLS,
20/03/1979, 20:14:00.0,51.76,-3.23,,0.7108528490242653,,, ,, RHYMNEY AREA,
09/01/1980, 02:01:00.0,51.68,-2.8,,-0.1580237570025343,,, ,, NEWPORT AREA,
12/01/1980, 08:49:56.7,51.829,-3.449,-1.1285311262075168,2.969932024693944,6.0,0.8,3,, CWMBRAN,
29/01/1980, 21:43:00.0,51.57,-3.26,,0.18952688540818546,,, ,, TREFORREST,
30/01/1980, 02:58:00.0,51.65,-2.88,,0.18952688540818546,,, ,, NEWPORT AREA,
07/02/1980, 05:17:00.0,51.65,-2.85,,1.4059541338457047,,,3,, NEWPORT AREA,
07/02/1980, 11:27:00.0,51.65,-2.82,,0.8846281702296254,,,3,, NEWPORT AREA,
22/02/1980, 14:04:00.0,51.65,-2.83,,1.0584034914349854,,, ,, NEWPORT AREA,
07/03/1980, 09:37:00.0,51.66,-3.12,,1.0584034914349854,,, ,, EBBW VALE,
07/03/1980, 21:57:00.0,51.68,-2.97,,0.015751564202825776,,, ,, NEWPORT AREA,
18/05/1980, 20:11:00.0,51.72,-3.27,,-1.0269003630293339,,, ,, MERTHYR TYD.,
22/06/1980, 05:34:49.7,51.68,-3.02,,0.3633022066135455,,, ,, NEWPORT AREA,
22/06/1980, 12:04:18.8,51.66,-3.02,,1.4059541338457047,,, ,, NEWPORT AREA,
30/07/1980, 22:57:00.0,52.17,-3.53,,0.7108528490242653,,, ,, BUILTH WELLS,
07/05/1981, 00:29:56.4,51.975,-3.599,-0.31015932576120514,1.2321788126403448,8.0,0.5, ,, LLANDOVERY,
09/11/1981, 03:10:35.9,51.639,-3.041,-0.9159670221954878,1.5797294550510648,17.0,0.6,3,, CWMBRAN,
09/11/1981, 04:20:25.8,51.751,-3.13,-1.1179029210069154,0.8846281702296254,5.0,0.5,3,, CWMBRAN,
04/04/1982, 21:43:46.6,51.94,-3.434,0.5188406798857079,1.2321788126403448,9.0,0.3, ,, PONT-FAEN,POWYS
28/06/1983, 13:02:10.6,52.079,-4.194,-0.2995311205606037,-0.505574399413254,6.0,0.2, ,, LAMPETER,DYFED
20/08/1983, 00:48:31.8,51.768,-3.852,-0.6927747129828574,-1.0269003630293339,6.0,0.1, ,, GLANAMAN,W.GLAMORGAN
23/08/1983, 10:38:39.4,51.653,-3.068,-0.8628259961924806,-1.0269003630293339,5.0,0.3, ,, CWMBRAN,GWENT
25/08/1983, 22:08:10.8,52.027,-2.691,0.19999452386766448,-0.8531250418239738,5.0,0.1, ,, HEREFORD,HERF&WOR
10/10/1983, 21:33:08.9,51.674,-2.646,0.9652252983109688,-0.505574399413254,5.0,0.2, ,, CWMBRAN,GWENT
05/12/1983, 00:56:15.9,51.661,-3.091,-0.8628259961924806,-0.8531250418239738,4.0,0.3, ,, CWMBRAN,GWENT
12/07/1984, 05:57:33.8,52.123,-2.951,0.7526611942989397,-0.8531250418239738,5.0,0.1, ,, HEREFORD,HERF&WOR
19/08/1984, 12:28:49.8,51.426,-2.899,0.6038663214905197,0.015751564202825776,5.0,0.1, ,, NEWPORT,GWENT
26/08/1984, 18:19:06.6,51.851,-2.866,-0.46958240377022686,-1.0269003630293339,3.0,0.0, ,, NW OF MONMOUTH,GWENT
10/01/1985, 12:46:49.6,51.868,-4.973,-1.0541336898033067,-0.505574399413254,6.0,0.3, ,, NR HAVERFORDWEST,DYFED
01/05/1985, 08:17:29.5,52.041,-3.267,0.6782637578947297,-0.505574399413254,6.0,0.1, ,, NR BRECON,POWYS
23/05/1985, 23:13:34.1,52.008,-3.424,0.38067401227788905,-0.505574399413254,6.0,0.1, ,, NR BRECON,POWYS
21/08/1985, 03:24:09.1,51.938,-3.226,0.41255862787969344,1.4059541338457047,10.0,0.6, ,, BLACK MOUNTAINS,POWYS
11/11/1985, 11:22:05.1,51.458,-3.968,-0.33141573616240805,-0.505574399413254,4.0,0.2, ,, BRISTOL CHANNEL,
