yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county,
10/08/1997, 20:53:32.7,53.234,-4.727,13.3,-0.9, , , , , CAERNARVON BAY,GWYNEDD,
10/07/1996, 15:22:47.6,53.329,-4.518,11.8,-0.7, , , , , ANGLESEY,GWYNEDD,
20/07/1989, 10:12:08.2,53.454,-4.307,9.8,-0.5,3,0, , , AMLWCH,GWYNEDD,
23/08/1995, 01:10:04.9,53.386,-4.454,22.2,-0.5,5,0, , , ANGLESEY,GWYNEDD,
20/09/1979, 06:43:00.0,51.78,-2.64, ,-0.4, , , , , MONMOUTH,,
27/02/1989, 20:52:50.9,52.846,-4.14,12.7,-0.4,6,0.2, , , HARLECH,GWYNEDD,
07/02/1997, 23:07:08.4,53.135,-4.39,10.3,-0.4, , , , , CAERNARVON BAY,GWYNEDD,
13/05/1997, 23:08:46.1,53.291,-4.506,11.6,-0.4, , , , , HOLYHEAD,ANGLESEY,
15/09/1998, 19:44:38.0,53.236,-4.582,10.2,-0.4, , , , , ANGLESEY,GWYNEDD,
11/03/1988, 19:56:38.9,53.313,-4.9,5.6,-0.3,3,0.1, , , HOLYHEAD,GWYNEDD,
01/05/1994, 21:45:22.0,53.352,-4.026,13.6,-0.3,7,0.1, , , CONWAY BAY,GWYNEDD,
26/12/1994, 11:28:02.6,53.378,-4.456,9.6,-0.3,4,0.1, , , ANGLESEY,GWYNEDD,
07/09/1997, 02:50:42.3,53.412,-4.422,17.7,-0.3, , , , , NORTH ANGLESEY,GWYNEDD,
10/07/1998, 05:49:40.5,53.1,-4.302,19,-0.3, , , , , CAERNARVON,GWYNEDD,
16/06/1999, 00:05:56.4,53.392,-4.714,17.2,-0.3, , , , , HOLYHEAD BAY,ANGLESEY,
04/01/1988, 00:51:16.7,53.006,-3.983,11.9,-0.2,6,0.2, , , B FFESTINIOG,GWYNEDD,
05/12/1989, 19:00:46.4,53.451,-4.293,11.1,-0.2,4,0, , , ANGLESEY,GWYNEDD,
17/08/1995, 01:55:15.6,52.942,-4.374,22.5,-0.2,4,0.1, , , LLEYN PENIN,GWYNEDD,
24/03/1996, 19:28:06.6,52.974,-4.399,21.4,-0.2, , , , , LLEYN PENIN,GWYNEDD,
24/05/1996, 05:40:43.2,53.486,-4.458,11.3,-0.2, , , , , OFF ANGLESEY,IRISH SEA,
31/12/1996, 09:06:26.8,53.419,-4.642,16.9,-0.2, , , , , OFF ANGLESEY,GWYNEDD,
