startdate,enddate,EQDate,rainfall_mm,stat_lat,stat_lon,stat_name,hist_county_name,height_m,lat,lon,depth,ML,locality,county
13/08/1991,22/08/1991,22/08/1991,5.1,51.866,-4.266,carmarthen-museum,dyfed,9,51.895,-4.178,4.8,1.7, CARMARTHEN,DYFED
27/06/1988,06/07/1988,06/07/1988,58.9,51.703,-5.152,dale-fort,dyfed,33,51.731,-5.062,5.7,2.1, MILFORD HAVEN,DYFED
16/12/1998,25/12/1998,25/12/1998,60.1,51.86,-4.039,llandeilo,dyfed,80,51.809,-3.983,18.8,1.5, AMMANFORD,DYFED
06/07/2021,15/07/2021,15/07/2021,37.5,51.919,-4.101,llanfynydd,dyfed,104,51.897,-4.171,7.5,0.9, FELINGWMUCHAF,CARMARTHS
17/12/2015,26/12/2015,26/12/2015,183.1,51.919,-4.101,llanfynydd,dyfed,104,51.908,-4.088,7.4,1.1, LLANFYNDD,CARMS
29/01/2010,07/02/2010,07/02/2010,43.3,52.013,-4.37,saron,dyfed,152,51.956,-4.281,7.9,1.2, RHOS,CARMARTHENSHIRE
01/05/2018,10/05/2018,10/05/2018,33.4,52.013,-4.37,saron,dyfed,152,51.999,-4.386,4.8,0.8, PENBOYR,CARMARTHENSHIRE
01/07/1993,10/07/1993,10/07/1993,23.5,51.86,-4.922,scolton-country-park,dyfed,75,51.863,-4.915,12.1,1.6, HAVERFORDWEST,DYFED
20/07/2005,29/07/2005,29/07/2005,70.5,51.86,-4.922,scolton-country-park,dyfed,75,51.855,-4.912,4.4,1.6, HAVERFORDWEST,DYFED
22/04/1993,01/05/1993,01/05/1993,18.5,51.833,-4.493,st-clears-salem-road,dyfed,40,51.877,-4.543,7.1,1.3, MEIDRIM,DYFED
21/10/1998,30/10/1998,30/10/1998,150.5,51.833,-4.493,st-clears-salem-road,dyfed,40,51.827,-4.491,11.8,1.8, ST CLEARS,DYFED
02/05/2012,11/05/2012,11/05/2012,56.7,51.833,-4.493,st-clears-salem-road,dyfed,40,51.852,-4.416,5,1.8, CARMARTHEN,DYFED
19/09/2021,28/09/2021,28/09/2021,29.2,51.669,-4.708,tenby,dyfed,5,51.735,-4.632,6.2,1.9, AMROTH,PEMBROKESHIRE
19/09/2021,28/09/2021,28/09/2021,29.2,51.669,-4.708,tenby,dyfed,5,51.733,-4.637,4.8,1.3, AMROTH,PEMBROKESHIRE
19/09/2021,28/09/2021,28/09/2021,29.2,51.669,-4.708,tenby,dyfed,5,51.734,-4.623,5.3,1, AMROTH,PEMBROKESHIRE
13/12/1979,09/01/1980,09/01/1980,14.9,51.718,-2.763,crumbland-plantation,gwent,245,51.68,-2.8,0,1.5, NEWPORT AREA,
29/01/1980,07/02/1980,07/02/1980,49,51.718,-2.763,crumbland-plantation,gwent,245,51.65,-2.85,0,2.4, NEWPORT AREA,
29/01/1980,07/02/1980,07/02/1980,49,51.718,-2.763,crumbland-plantation,gwent,245,51.65,-2.82,0,2.1, NEWPORT AREA,
13/08/1980,22/02/1980,22/02/1980,41.5,51.718,-2.763,crumbland-plantation,gwent,245,51.65,-2.83,0,2.2, NEWPORT AREA,
26/07/1988,04/08/1988,04/08/1988,21.7,51.859,-3.104,llangenny,gwent,122,51.873,-3.174,2.8,0.7, HAY-ON-WYE,HER & WOR
17/02/1988,26/02/1988,26/02/1988,0,51.859,-3.104,llangenny,gwent,122,51.911,-3.159,17.9,1.1, BRECON,POWYS
04/10/1988,13/10/1988,13/10/1988,47.2,51.859,-3.104,llangenny,gwent,122,51.851,-3.073,46.8,0.5, MERTHYR TYDFIL,POWYS
19/09/1989,28/09/1989,28/09/1989,2,51.859,-3.104,llangenny,gwent,122,51.814,-3.091,22.2,1.4, ABERGAVENNY,GWENT
25/03/1991,03/04/1991,03/04/1991,15.3,51.859,-3.104,llangenny,gwent,122,51.93,-3.183,17.2,1, EARDISLEY,HEREFORD
19/07/1992,28/07/1992,28/07/1992,26.2,51.859,-3.104,llangenny,gwent,122,51.799,-3.003,16.9,0.7, ABERGAVENNY,GWENT
11/05/1991,20/05/1991,20/05/1991,0,51.729,-2.746,llanishen,gwent,180,51.739,-2.861,7.3,0.8, PONTYPOOL,GWENT
07/03/1998,16/03/1998,16/03/1998,14.9,51.729,-2.746,llanishen,gwent,180,51.727,-2.845,26.6,1, USK,GWENT
19/12/2002,28/12/2002,28/12/2002,59,51.729,-2.746,llanishen,gwent,180,51.708,-2.861,25.9,2.4, USK,GWENT
