yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality,county
30/07/1988, 19:21:26.0,51.947,-3.139,6.4,1.1,7,0.3, ,NA, HAY-ON-WYE,HER & WORC
31/07/1988, 04:41:03.5,52.017,-3.103,10.3,0.5,4,0, ,NA, HAY-ON-WYE,HER & WORC
01/08/1988, 03:56:35.2,52.045,-3.087,8.6,0.6,4,0, ,NA, HAY-ON-WYE,HER & WORC
01/08/1988, 08:22:34.6,52.041,-3.096,6,0.3,4,0.1, ,NA, HAY-ON-WYE,HER & WORC
01/08/1988, 21:10:06.4,52.038,-3.09,9.3,0.8,4,0, ,NA, HAY-ON-WYE,HER & WORC
03/08/1988, 14:14:28.5,52.067,-3.071,6.4,0.6,4,0, ,NA, HAY-ON-WYE,HER & WORC
04/08/1988, 10:42:07.6,52.042,-3.085,9.4,0.8,4,0, ,NA, HAY-ON-WYE,HER & WORC
04/08/1988, 10:42:09.9,51.873,-3.174,2.8,0.7,5,0.5, ,NA, HAY-ON-WYE,HER & WOR
04/08/1988, 19:15:11.8,52.02,-3.1,11.5,0.3,NA,NA, ,NA, HAY-ON-WYE,HER & WORC
07/08/1988, 01:44:57.8,52.035,-3.09,9,0.9,5,0.1, ,NA, HAY-ON-WYE,HER & WORC
07/08/1988, 12:18:00.2,52.035,-3.086,9.4,1.1,9,0.2, ,NA, HAY-ON-WYE,HER & WORC
07/08/1988, 22:32:47.7,52.056,-3.08,7.7,0.9,4,0, ,NA, HAY-ON-WYE,HER & WORC
07/08/1988, 23:23:50.5,52.033,-3.088,7.3,0.8,4,0.1, ,NA, HAY-ON-WYE,HER & WORC
08/08/1988, 19:20:43.6,52.04,-3.087,9.1,0.5,3,0, ,NA, HAY-ON-WYE,HER & WORC
10/08/1988, 02:19:41.3,52.018,-3.101,11.3,0.8,4,0.1, ,NA, HAY-ON-WYE,HER & WORC
11/08/1988, 15:34:23.7,52.04,-3.083,7.8,1.2,13,0.2, ,NA, HAY-ON-WYE,HER & WORC
11/08/1988, 15:39:18.2,52.044,-3.064,8.6,1.1,12,0.2, ,NA, HAY-ON-WYE,HER & WORC
